,extractor,reliable_positive_threshold,classifier,detector,balanced_accuracy,accuracy,f1
0,clip-ViT-B-32,0.5,logistic,k-means,0.49059277449395544,0.537,0.659808963997061
1,clip-ViT-B-32,0.5,logistic,knn,0.6189806302470888,0.666,0.7590187590187589
2,clip-ViT-B-32,0.5,kneighbours,k-means,0.505439901937798,0.536,0.6340694006309149
3,clip-ViT-B-32,0.5,kneighbours,knn,0.5768393861240338,0.63,0.7387005649717514
4,clip-ViT-B-32,0.5,qda,k-means,0.4599503930303442,0.516,0.6577086280056577
5,clip-ViT-B-32,0.5,qda,knn,0.5641579360868081,0.618,0.7306064880112835
6,clip-ViT-B-32,0.5,naivebayes,k-means,0.480942861491253,0.515,0.622568093385214
7,clip-ViT-B-32,0.5,naivebayes,knn,0.6142687907992646,0.641,0.7157561361836895
8,clip-ViT-B-32,0.55,logistic,k-means,0.5779561599434003,0.611,0.6996138996138995
9,clip-ViT-B-32,0.55,logistic,knn,0.6232441148282061,0.665,0.7527675276752768
10,clip-ViT-B-32,0.55,kneighbours,k-means,0.5775571652455052,0.597,0.6677658697444352
11,clip-ViT-B-32,0.55,kneighbours,knn,0.5860738510392373,0.634,0.735930735930736
12,clip-ViT-B-32,0.55,qda,k-means,0.5394613982913156,0.59,0.7058823529411766
13,clip-ViT-B-32,0.55,qda,knn,0.5848583568822472,0.629,0.7278063096111519
14,clip-ViT-B-32,0.55,naivebayes,k-means,0.5986483540440375,0.62,0.6905537459283388
15,clip-ViT-B-32,0.55,naivebayes,knn,0.6015708873724348,0.625,0.6978243352135374
16,clip-ViT-B-32,0.55,logistic,k-means,0.5779561599434003,0.611,0.6996138996138995
17,clip-ViT-B-32,0.55,logistic,knn,0.6232441148282061,0.665,0.7527675276752768
18,clip-ViT-B-32,0.55,kneighbours,k-means,0.5775571652455052,0.597,0.6677658697444352
19,clip-ViT-B-32,0.55,kneighbours,knn,0.5860738510392373,0.634,0.735930735930736
20,clip-ViT-B-32,0.55,qda,k-means,0.5394613982913156,0.59,0.7058823529411766
21,clip-ViT-B-32,0.55,qda,knn,0.5848583568822472,0.629,0.7278063096111519
22,clip-ViT-B-32,0.55,naivebayes,k-means,0.5986483540440375,0.62,0.6905537459283388
23,clip-ViT-B-32,0.55,naivebayes,knn,0.6015708873724348,0.625,0.6978243352135374
24,clip-ViT-B-32,0.6,logistic,k-means,0.5530683514937621,0.578,0.6602254428341385
25,clip-ViT-B-32,0.6,logistic,knn,0.6713641093985875,0.702,0.7700617283950617
26,clip-ViT-B-32,0.6,kneighbours,k-means,0.4561393766633349,0.461,0.5122171945701358
27,clip-ViT-B-32,0.6,kneighbours,knn,0.5882642085302598,0.627,0.7197595792637116
28,clip-ViT-B-32,0.6,qda,k-means,0.4623237944807104,0.512,0.6453488372093024
29,clip-ViT-B-32,0.6,qda,knn,0.6034774238927897,0.632,0.710691823899371
30,clip-ViT-B-32,0.6,naivebayes,k-means,0.4531818798820292,0.489,0.6041828040278854
31,clip-ViT-B-32,0.6,naivebayes,knn,0.597091452052766,0.615,0.6810273405136703
32,clip-ViT-B-32,0.6,logistic,k-means,0.5530683514937621,0.578,0.6602254428341385
33,clip-ViT-B-32,0.6,logistic,knn,0.6713641093985875,0.702,0.7700617283950617
34,clip-ViT-B-32,0.6,kneighbours,k-means,0.4561393766633349,0.461,0.5122171945701358
35,clip-ViT-B-32,0.6,kneighbours,knn,0.5882642085302598,0.627,0.7197595792637116
36,clip-ViT-B-32,0.6,qda,k-means,0.4623237944807104,0.512,0.6453488372093024
37,clip-ViT-B-32,0.6,qda,knn,0.6034774238927897,0.632,0.710691823899371
38,clip-ViT-B-32,0.6,naivebayes,k-means,0.4531818798820292,0.489,0.6041828040278854
39,clip-ViT-B-32,0.6,naivebayes,knn,0.597091452052766,0.615,0.6810273405136703
40,clip-ViT-B-32,0.65,logistic,k-means,0.6046600112705719,0.629,0.7024859663191659
41,clip-ViT-B-32,0.65,logistic,knn,0.6959948336356644,0.714,0.7663398692810457
42,clip-ViT-B-32,0.65,kneighbours,k-means,0.5350662865933669,0.559,0.6423357664233575
43,clip-ViT-B-32,0.65,kneighbours,knn,0.6048430552299155,0.632,0.708860759493671
44,clip-ViT-B-32,0.65,qda,k-means,0.6141844671775444,0.662,0.7568345323741008
45,clip-ViT-B-32,0.65,qda,knn,0.6155603818831727,0.623,0.6713164777680907
46,clip-ViT-B-32,0.65,naivebayes,k-means,0.6446047278815027,0.629,0.633761105626851
47,clip-ViT-B-32,0.65,naivebayes,knn,0.5946686904335879,0.607,0.6649616368286445
48,clip-ViT-B-32,0.65,logistic,k-means,0.6046600112705719,0.629,0.7024859663191659
49,clip-ViT-B-32,0.65,logistic,knn,0.6959948336356644,0.714,0.7663398692810457
50,clip-ViT-B-32,0.65,kneighbours,k-means,0.5350662865933669,0.559,0.6423357664233575
51,clip-ViT-B-32,0.65,kneighbours,knn,0.6048430552299155,0.632,0.708860759493671
52,clip-ViT-B-32,0.65,qda,k-means,0.6141844671775444,0.662,0.7568345323741008
53,clip-ViT-B-32,0.65,qda,knn,0.6155603818831727,0.623,0.6713164777680907
54,clip-ViT-B-32,0.65,naivebayes,k-means,0.6446047278815027,0.629,0.633761105626851
55,clip-ViT-B-32,0.65,naivebayes,knn,0.5946686904335879,0.607,0.6649616368286445
56,clip-ViT-B-32,0.7,logistic,k-means,0.6023956135263315,0.618,0.6800670016750419
57,clip-ViT-B-32,0.7,logistic,knn,0.6834635207785744,0.697,0.7464435146443515
58,clip-ViT-B-32,0.7,kneighbours,k-means,0.58344542205001,0.576,0.5969581749049429
59,clip-ViT-B-32,0.7,kneighbours,knn,0.6185240486855799,0.638,0.7032786885245901
60,clip-ViT-B-32,0.7,qda,k-means,0.6530453167483166,0.689,0.7652830188679245
61,clip-ViT-B-32,0.7,qda,knn,0.6316744203265175,0.598,0.5543237250554323
62,clip-ViT-B-32,0.7,naivebayes,k-means,0.5105692461468219,0.538,0.6304
63,clip-ViT-B-32,0.7,naivebayes,knn,0.5915713398406489,0.601,0.6545454545454545
64,clip-ViT-B-32,0.75,logistic,k-means,0.5662331198506032,0.583,0.6510460251046025
65,clip-ViT-B-32,0.75,logistic,knn,0.6966036090510096,0.696,0.7266187050359713
66,clip-ViT-B-32,0.75,kneighbours,k-means,0.4981633903854618,0.51,0.5753899480069324
67,clip-ViT-B-32,0.75,kneighbours,knn,0.5953597327969529,0.609,0.6689246401354785
68,clip-ViT-B-32,0.75,qda,k-means,0.6162000074040254,0.654,0.7398496240601504
69,clip-ViT-B-32,0.75,qda,knn,0.6359296782128327,0.595,0.5285215366705471
70,clip-ViT-B-32,0.75,naivebayes,k-means,0.5214120298958089,0.518,0.5478424015009381
71,clip-ViT-B-32,0.75,naivebayes,knn,0.5725203713530034,0.576,0.6200716845878136
72,clip-ViT-B-32,0.8,logistic,k-means,0.6025868841804772,0.623,0.6917416189697466
73,clip-ViT-B-32,0.8,logistic,knn,0.6561035905409462,0.644,0.6563706563706564
74,clip-ViT-B-32,0.8,kneighbours,k-means,0.5540020813537849,0.556,0.5978260869565217
