,extractor,reliable_positive_threshold,classifier,detector,balanced_accuracy,accuracy,f1
0,clip-ViT-L-14,0.5,logistic,k-means,0.5239558492615684,0.7071804813096008,0.8232011539098153
1,clip-ViT-L-14,0.5,logistic,knn,0.5520675674610018,0.7051048581331141,0.8152509936699545
2,clip-ViT-L-14,0.5,kneighbours,k-means,0.528299274780846,0.7119583308856645,0.8263856104239449
3,clip-ViT-L-14,0.5,kneighbours,knn,0.5097176942388655,0.7125849341087548,0.8306332502538539
4,clip-ViT-L-14,0.5,qda,k-means,0.5002088143349797,0.7101764279700014,0.830502845756559
5,clip-ViT-L-14,0.5,qda,knn,0.5,0.7100785212163935,0.8304630605047406
6,clip-ViT-L-14,0.5,naivebayes,k-means,0.49802468003304645,0.6691339168575848,0.7953193705861689
7,clip-ViT-L-14,0.5,naivebayes,knn,0.5176229142457844,0.7052810902896082,0.8228981584985585
8,clip-ViT-L-14,0.55,logistic,k-means,0.5330619763598433,0.6871095968199886,0.8032893845945512
9,clip-ViT-L-14,0.55,logistic,knn,0.5473198041404251,0.7096281501497973,0.8203438291273427
10,clip-ViT-L-14,0.55,kneighbours,k-means,0.5141136853671957,0.6676065715013022,0.7898015032752579
11,clip-ViT-L-14,0.55,kneighbours,knn,0.5145567149433755,0.7124478646537038,0.829567215626197
12,clip-ViT-L-14,0.55,qda,k-means,0.5005980574270497,0.7100197771642288,0.8302985160144387
13,clip-ViT-L-14,0.55,qda,knn,0.500336300324819,0.7102155906714445,0.8305102216114071
14,clip-ViT-L-14,0.55,naivebayes,k-means,0.5292410602210861,0.562611368932229,0.6640092658052676
15,clip-ViT-L-14,0.55,naivebayes,knn,0.5197628484006308,0.7011690066380779,0.818905673363316
16,clip-ViT-L-14,0.55,logistic,k-means,0.5330619763598433,0.6871095968199886,0.8032893845945512
17,clip-ViT-L-14,0.55,logistic,knn,0.5473198041404251,0.7096281501497973,0.8203438291273427
18,clip-ViT-L-14,0.55,kneighbours,k-means,0.5141136853671957,0.6676065715013022,0.7898015032752579
19,clip-ViT-L-14,0.55,kneighbours,knn,0.5145567149433755,0.7124478646537038,0.829567215626197
20,clip-ViT-L-14,0.55,qda,k-means,0.5005980574270497,0.7100197771642288,0.8302985160144387
21,clip-ViT-L-14,0.55,qda,knn,0.500336300324819,0.7102155906714445,0.8305102216114071
22,clip-ViT-L-14,0.55,naivebayes,k-means,0.5292410602210861,0.562611368932229,0.6640092658052676
23,clip-ViT-L-14,0.55,naivebayes,knn,0.5197628484006308,0.7011690066380779,0.818905673363316
24,clip-ViT-L-14,0.6,logistic,k-means,0.5150653802898779,0.6787483600618771,0.7999658603199375
25,clip-ViT-L-14,0.6,logistic,knn,0.560970763892192,0.7002682645048856,0.8087509526843835
26,clip-ViT-L-14,0.6,kneighbours,k-means,0.5057408487945814,0.648593079950655,0.7736491599818374
27,clip-ViT-L-14,0.6,kneighbours,knn,0.5130024813954939,0.7112338209089663,0.8288635387775469
28,clip-ViT-L-14,0.6,qda,k-means,0.5000287590110684,0.7096085687990757,0.8300715005958381
29,clip-ViT-L-14,0.6,qda,knn,0.5043636560987883,0.7101176839178367,0.8296432681242807
30,clip-ViT-L-14,0.6,naivebayes,k-means,0.48807077859894044,0.6220799310736455,0.7520236412694333
31,clip-ViT-L-14,0.6,naivebayes,knn,0.5239101265128658,0.6957645538389238,0.8132549670068149
32,clip-ViT-L-14,0.6,logistic,k-means,0.5150653802898779,0.6787483600618771,0.7999658603199375
33,clip-ViT-L-14,0.6,logistic,knn,0.560970763892192,0.7002682645048856,0.8087509526843835
34,clip-ViT-L-14,0.6,kneighbours,k-means,0.5057408487945814,0.648593079950655,0.7736491599818374
35,clip-ViT-L-14,0.6,kneighbours,knn,0.5130024813954939,0.7112338209089663,0.8288635387775469
36,clip-ViT-L-14,0.6,qda,k-means,0.5000287590110684,0.7096085687990757,0.8300715005958381
37,clip-ViT-L-14,0.6,qda,knn,0.5043636560987883,0.7101176839178367,0.8296432681242807
38,clip-ViT-L-14,0.6,naivebayes,k-means,0.48807077859894044,0.6220799310736455,0.7520236412694333
39,clip-ViT-L-14,0.6,naivebayes,knn,0.5239101265128658,0.6957645538389238,0.8132549670068149
40,clip-ViT-L-14,0.65,logistic,k-means,0.5142155516059342,0.6098611682233841,0.729763454861111
41,clip-ViT-L-14,0.65,logistic,knn,0.5663067189263523,0.7058881121619769,0.8126855061980894
42,clip-ViT-L-14,0.65,kneighbours,k-means,0.4982591997945697,0.6230981613111672,0.7498115267631996
43,clip-ViT-L-14,0.65,kneighbours,knn,0.5135770395386469,0.7073958761675381,0.825528039511016
44,clip-ViT-L-14,0.65,qda,k-means,0.5005401035776615,0.7098239636570131,0.8301488876408357
45,clip-ViT-L-14,0.65,qda,knn,0.5159827770978769,0.7046544870665179,0.8227052061170994
46,clip-ViT-L-14,0.65,naivebayes,k-means,0.5042495755219509,0.585208247664924,0.7046801154344825
47,clip-ViT-L-14,0.65,naivebayes,knn,0.5246244026777986,0.6933168849987272,0.8109139200772666
48,clip-ViT-L-14,0.65,logistic,k-means,0.5142155516059342,0.6098611682233841,0.729763454861111
49,clip-ViT-L-14,0.65,logistic,knn,0.5663067189263523,0.7058881121619769,0.8126855061980894
50,clip-ViT-L-14,0.65,kneighbours,k-means,0.4982591997945697,0.6230981613111672,0.7498115267631996
51,clip-ViT-L-14,0.65,kneighbours,knn,0.5135770395386469,0.7073958761675381,0.825528039511016
52,clip-ViT-L-14,0.65,qda,k-means,0.5005401035776615,0.7098239636570131,0.8301488876408357
53,clip-ViT-L-14,0.65,qda,knn,0.5159827770978769,0.7046544870665179,0.8227052061170994
54,clip-ViT-L-14,0.65,naivebayes,k-means,0.5042495755219509,0.585208247664924,0.7046801154344825
55,clip-ViT-L-14,0.65,naivebayes,knn,0.5246244026777986,0.6933168849987272,0.8109139200772666
56,clip-ViT-L-14,0.7,logistic,k-means,0.5199175335497304,0.6517848401182713,0.772749926520389
57,clip-ViT-L-14,0.7,logistic,knn,0.5606858818704986,0.7084336877557814,0.8163043746453157
58,clip-ViT-L-14,0.7,kneighbours,k-means,0.5106296990815098,0.6382541267696645,0.7617426294204134
59,clip-ViT-L-14,0.7,kneighbours,knn,0.5252393614484102,0.7031858857623999,0.8194788490853658
60,clip-ViT-L-14,0.7,qda,k-means,0.5021360750349102,0.7102743347236092,0.8302081659819605
61,clip-ViT-L-14,0.7,qda,knn,0.5407215918792256,0.6664316904580078,0.7814652794704366
62,clip-ViT-L-14,0.7,naivebayes,k-means,0.5256864587456037,0.6185748692944839,0.7354798408452043
63,clip-ViT-L-14,0.7,naivebayes,knn,0.5250410041737016,0.6926315377234722,0.8102049452874674
64,clip-ViT-L-14,0.75,logistic,k-means,0.5258435744697596,0.6078442890990621,0.7230741575519573
65,clip-ViT-L-14,0.75,logistic,knn,0.5810332789158931,0.6894006148544126,0.7932158314647756
66,clip-ViT-L-14,0.75,kneighbours,k-means,0.5359449307906138,0.47894025729894846,0.5217469446441408
67,clip-ViT-L-14,0.75,kneighbours,knn,0.530235124443897,0.693140652842233,0.8094641749851059
68,clip-ViT-L-14,0.75,qda,k-means,0.5041684120089123,0.7094714993440248,0.8291475224836194
69,clip-ViT-L-14,0.75,qda,knn,0.5393085821921529,0.40658716638273706,0.34840568492119806
70,clip-ViT-L-14,0.75,naivebayes,k-means,0.498772099556697,0.6094107971567879,0.7348143421210067
71,clip-ViT-L-14,0.75,naivebayes,knn,0.527661780575067,0.6846619279797921,0.8023418513881729
72,clip-ViT-L-14,0.8,logistic,k-means,0.5216184890868242,0.6672541071883139,0.7874892137613645
73,clip-ViT-L-14,0.8,logistic,knn,0.5789421481006636,0.6950008811607825,0.7992731771437408
74,clip-ViT-L-14,0.8,kneighbours,k-means,0.4975032164516786,0.621002956783959,0.7478340173278614
75,clip-ViT-L-14,0.8,kneighbours,knn,0.5309081916521954,0.6892439640486401,0.805767018334027
76,clip-ViT-L-14,0.8,qda,k-means,0.5104869051250897,0.7096477315005189,0.8280412849356372
77,clip-ViT-L-14,0.8,qda,knn,0.5190426317612596,0.34159666333783706,0.1725970766277868
78,clip-ViT-L-14,0.8,naivebayes,k-means,0.494939056617793,0.6436389982180971,0.7718365658262603
79,clip-ViT-L-14,0.8,naivebayes,knn,0.5301740257470127,0.675771994752198,0.7933917296798184
80,clip-ViT-L-14,0.9,logistic,k-means,0.606720268476739,0.6208267246274648,0.7057232302969515
81,clip-ViT-L-14,0.9,logistic,knn,0.5526618886937504,0.6881278270575104,0.7993903744662627
82,clip-ViT-L-14,0.9,kneighbours,k-means,0.5344359972017506,0.6640036029685328,0.7808136935555983
83,clip-ViT-L-14,0.9,kneighbours,knn,0.5310875923039746,0.6755370185435391,0.7929319437154783
