,extractor,reliable_positive_threshold,classifier,detector,balanced_accuracy,accuracy,f1
0,clip-ViT-B-32,0.5,logistic,k-means,0.4886116634993884,0.6651589026611056,0.7940056859249266
1,clip-ViT-B-32,0.5,logistic,knn,0.5686941526722753,0.6680177798664552,0.7749787640688045
2,clip-ViT-B-32,0.5,kneighbours,k-means,0.48503436641291103,0.6422291409661438,0.7732648325329164
3,clip-ViT-B-32,0.5,kneighbours,knn,0.5136517382807887,0.7063384832285731,0.8246190548584392
4,clip-ViT-B-32,0.5,qda,k-means,0.4903994566850833,0.6842703009653606,0.8106533890741697
5,clip-ViT-B-32,0.5,qda,knn,0.5242158928549471,0.6845640212261842,0.8030853105479971
6,clip-ViT-B-32,0.5,naivebayes,k-means,0.48337066944954415,0.6610076563081322,0.7915020714905097
7,clip-ViT-B-32,0.5,naivebayes,knn,0.5283036917224139,0.6749887407233351,0.7931300944736644
8,clip-ViT-B-32,0.55,logistic,k-means,0.5371934976406789,0.5760050128257848,0.6783236521919986
9,clip-ViT-B-32,0.55,logistic,knn,0.5545399707583755,0.6624175135600854,0.7733964248159831
10,clip-ViT-B-32,0.55,kneighbours,k-means,0.5338113198559331,0.5498051655603203,0.6433679246746398
11,clip-ViT-B-32,0.55,kneighbours,knn,0.5158907728475852,0.7019130979654976,0.8203754616573647
12,clip-ViT-B-32,0.55,qda,k-means,0.4950475263843951,0.6551724137931034,0.7830051507011362
13,clip-ViT-B-32,0.55,qda,knn,0.5256522574814209,0.6802757054181597,0.7987725222449533
14,clip-ViT-B-32,0.55,naivebayes,k-means,0.5371290054512639,0.5462021970275509,0.6361681083881501
15,clip-ViT-B-32,0.55,naivebayes,knn,0.526732557762225,0.6764181793260099,0.7948861168000994
16,clip-ViT-B-32,0.55,logistic,k-means,0.5371934976406789,0.5760050128257848,0.6783236521919986
17,clip-ViT-B-32,0.55,logistic,knn,0.5545399707583755,0.6624175135600854,0.7733964248159831
18,clip-ViT-B-32,0.55,kneighbours,k-means,0.5338113198559331,0.5498051655603203,0.6433679246746398
19,clip-ViT-B-32,0.55,kneighbours,knn,0.5158907728475852,0.7019130979654976,0.8203754616573647
20,clip-ViT-B-32,0.55,qda,k-means,0.4950475263843951,0.6551724137931034,0.7830051507011362
21,clip-ViT-B-32,0.55,qda,knn,0.5256522574814209,0.6802757054181597,0.7987725222449533
