,Unnamed: 0,extractor,percentile_threshold,classifier,detector,balanced_accuracy,accuracy,f1,confusion_matrix,aul
0,0,clip-ViT-L-14,0.5,nnpu,knn-90,0.6034506871346833,0.667,0.7754551584625757,"[[92, 325], [8, 575]]",0.680155935613682
1,1,clip-ViT-L-14,0.5,pt,knn-90,0.6931915873818956,0.655,0.6101694915254238,"[[385, 32], [313, 270]]",0.6594336016096579
2,2,clip-ViT-L-14,0.5,tsa,knn-90,0.6109698861836774,0.669,0.771881461061337,"[[109, 308], [23, 560]]",0.6348963782696176
3,3,clip-ViT-L-14,0.55,nnpu,knn-90,0.5943745860944178,0.66,0.7724230254350735,"[[83, 334], [6, 577]]",0.715095238095238
4,4,clip-ViT-L-14,0.55,pt,knn-90,0.6250560443583384,0.566,0.4197860962566844,"[[409, 8], [426, 157]]",0.6918095238095238
5,5,clip-ViT-L-14,0.55,tsa,knn-90,0.6311705352698973,0.683,0.7762879322512349,"[[133, 284], [33, 550]]",0.6564309523809523
6,6,clip-ViT-L-14,0.6,nnpu,knn-90,0.5892370151905919,0.656,0.7706666666666666,"[[78, 339], [5, 578]]",0.7135999999999999
7,7,clip-ViT-L-14,0.6,pt,knn-90,0.6250560443583384,0.566,0.4197860962566844,"[[409, 8], [426, 157]]",0.6918095238095238
8,8,clip-ViT-L-14,0.6,tsa,knn-90,0.6311705352698973,0.683,0.7762879322512349,"[[133, 284], [33, 550]]",0.6564309523809523
9,9,clip-ViT-L-14,0.65,nnpu,knn-90,0.5722756271826449,0.641,0.7620941020543406,"[[66, 351], [8, 575]]",0.746039156626506
10,10,clip-ViT-L-14,0.65,pt,knn-90,0.5739312495115401,0.504,0.2640949554896142,"[[415, 2], [494, 89]]",0.7274668674698794
11,11,clip-ViT-L-14,0.65,tsa,knn-90,0.6469082024260523,0.691,0.7749453750910416,"[[159, 258], [51, 532]]",0.6940240963855422
12,12,clip-ViT-L-14,0.7,nnpu,knn-90,0.5712514036798005,0.641,0.763036303630363,"[[63, 354], [5, 578]]",0.7479518072289156
13,13,clip-ViT-L-14,0.7,pt,knn-90,0.5739312495115401,0.504,0.2640949554896142,"[[415, 2], [494, 89]]",0.7274668674698794
14,14,clip-ViT-L-14,0.7,tsa,knn-90,0.6469082024260523,0.691,0.7749453750910416,"[[159, 258], [51, 532]]",0.6940240963855422
15,15,clip-ViT-L-14,0.75,nnpu,knn-90,0.562858118308098,0.634,0.7595269382391591,"[[56, 361], [5, 578]]",0.7798625954198473
16,16,clip-ViT-L-14,0.75,pt,knn-90,0.5490598944515057,0.475,0.1860465116279069,"[[415, 2], [523, 60]]",0.7470572519083969
17,17,clip-ViT-L-14,0.75,tsa,knn-90,0.6605727424921126,0.693,0.764750957854406,"[[194, 223], [84, 499]]",0.7261316793893129
18,18,clip-ViT-L-14,0.8,nnpu,knn-90,0.5625167104738165,0.634,0.7598425196850394,"[[55, 362], [4, 579]]",0.7792519083969465
19,19,clip-ViT-L-14,0.8,pt,knn-90,0.5490598944515057,0.475,0.1860465116279069,"[[415, 2], [523, 60]]",0.7470572519083969
20,20,clip-ViT-L-14,0.8,tsa,knn-90,0.6605727424921126,0.693,0.764750957854406,"[[194, 223], [84, 499]]",0.7261316793893129
21,21,clip-ViT-L-14,0.85,nnpu,knn-90,0.5513839357330602,0.625,0.755700325732899,"[[45, 372], [3, 580]]",0.8086185567010309
22,22,clip-ViT-L-14,0.85,pt,knn-90,0.5291595197255574,0.451,0.1102106969205834,"[[417, 0], [549, 34]]",0.7873092783505155
23,23,clip-ViT-L-14,0.85,tsa,knn-90,0.6687583038200657,0.691,0.7518072289156627,"[[223, 194], [115, 468]]",0.7624768041237113
24,24,clip-ViT-L-14,0.9,nnpu,knn-90,0.5794534183973576,0.643,0.7586206896551724,"[[82, 335], [22, 561]]",0.8365338983050847
25,25,clip-ViT-L-14,0.9,pt,knn-90,0.5120068610634648,0.431,0.0469011725293132,"[[417, 0], [569, 14]]",0.8294237288135593
26,26,clip-ViT-L-14,0.9,tsa,knn-90,0.6824228438861262,0.693,0.7391673746813935,"[[258, 159], [148, 435]]",0.8149576271186441
27,27,clip-ViT-L-14,0.95,nnpu,knn-90,0.7144226299920613,0.712,0.7391304347826086,"[[304, 113], [175, 408]]",0.8808521126760563
28,28,clip-ViT-L-14,0.95,pt,knn-90,0.5017152658662093,0.419,0.0068376068376068,"[[417, 0], [581, 2]]",0.858049295774648
29,29,clip-ViT-L-14,0.95,tsa,knn-90,0.681865485313293,0.682,0.7145421903052065,"[[284, 133], [185, 398]]",0.8224929577464789
