,Unnamed: 0,extractor,percentile_threshold,classifier,detector,balanced_accuracy,accuracy,f1,confusion_matrix,aul
0,0,clip-ViT-L-14,0.5,nnpu,knn-90,0.5306581087602734,0.7234525837592277,0.8355668362654123,"[[1063, 13743], [380, 35883]]",0.5961647417145396
1,1,clip-ViT-L-14,0.5,pt,knn-90,0.5785690762483837,0.5128551567487125,0.551715438950555,"[[10882, 3924], [20954, 15309]]",0.5519021949210642
2,2,clip-ViT-L-14,0.5,tsa,knn-90,0.5521587624508628,0.7075329456225891,0.8174127771937117,"[[2700, 12106], [2830, 33433]]",0.5539218786759305
3,3,clip-ViT-L-14,0.55,nnpu,knn-90,0.5309212664697396,0.7233155143041767,0.8354029308296251,"[[1081, 13725], [405, 35858]]",0.6032776946850771
4,4,clip-ViT-L-14,0.55,pt,knn-90,0.5423028215728186,0.3986371379897785,0.3211988594920761,"[[13092, 1714], [28997, 7266]]",0.5601308810239684
5,5,clip-ViT-L-14,0.55,tsa,knn-90,0.5470918171314,0.7098435450077346,0.8205836057634097,"[[2365, 12441], [2377, 33886]]",0.5584551557128917
6,6,clip-ViT-L-14,0.6,nnpu,knn-90,0.5284970407087499,0.7227672364839727,0.8354141963683709,"[[979, 13827], [331, 35932]]",0.6146552698491242
7,7,clip-ViT-L-14,0.6,pt,knn-90,0.5423028215728186,0.3986371379897785,0.3211988594920761,"[[13092, 1714], [28997, 7266]]",0.564734963194993
8,8,clip-ViT-L-14,0.6,tsa,knn-90,0.5470918171314,0.7098435450077346,0.8205836057634097,"[[2365, 12441], [2377, 33886]]",0.5618149107443733
9,9,clip-ViT-L-14,0.65,nnpu,knn-90,0.5259021280472459,0.7209265895161449,0.8343907597201887,"[[914, 13892], [360, 35903]]",0.6207436285373343
10,10,clip-ViT-L-14,0.65,pt,knn-90,0.5212192936745906,0.3488026004033758,0.1946919798527702,"[[13793, 1013], [32243, 4020]]",0.569652594829063
11,11,clip-ViT-L-14,0.65,tsa,knn-90,0.553028473425018,0.6917699582917229,0.8027418889961028,"[[3299, 11507], [4234, 32029]]",0.5555048766149109
12,12,clip-ViT-L-14,0.7,nnpu,knn-90,0.5248031216510564,0.7209265895161449,0.8346021725002322,"[[859, 13947], [305, 35958]]",0.6250048493668043
13,13,clip-ViT-L-14,0.7,pt,knn-90,0.5212192936745906,0.3488026004033758,0.1946919798527702,"[[13793, 1013], [32243, 4020]]",0.5746631175074448
14,14,clip-ViT-L-14,0.7,tsa,knn-90,0.553028473425018,0.6917699582917229,0.8027418889961028,"[[3299, 11507], [4234, 32029]]",0.5582899733147105
15,15,clip-ViT-L-14,0.75,nnpu,knn-90,0.5175719643638286,0.7179502242064658,0.8335375014445857,"[[602, 14204], [200, 36063]]",0.6396269599477035
16,16,clip-ViT-L-14,0.75,pt,knn-90,0.5126047126656306,0.3246783763143981,0.1207872329577321,"[[14212, 594], [33894, 2369]]",0.5790723642133208
17,17,clip-ViT-L-14,0.75,tsa,knn-90,0.5658449245657342,0.705516066498267,0.8124508960305286,"[[3456, 11350], [3689, 32574]]",0.5768419845541122
18,18,clip-ViT-L-14,0.8,nnpu,knn-90,0.5145680445894042,0.7168340872153361,0.8331968394947805,"[[491, 14315], [146, 36117]]",0.6455150373032399
19,19,clip-ViT-L-14,0.8,pt,knn-90,0.5126047126656306,0.3246783763143981,0.1207872329577321,"[[14212, 594], [33894, 2369]]",0.5848206567282158
20,20,clip-ViT-L-14,0.8,tsa,knn-90,0.5658449245657342,0.705516066498267,0.8124508960305286,"[[3456, 11350], [3689, 32574]]",0.5822639553233895
21,21,clip-ViT-L-14,0.85,nnpu,knn-90,0.5129498813300132,0.71601167048503,0.8328319328699701,"[[439, 14367], [136, 36127]]",0.6569769458102342
22,22,clip-ViT-L-14,0.85,pt,knn-90,0.5070032336035297,0.3076426011866298,0.0625198854597518,"[[14532, 274], [35084, 1179]]",0.5883608553670359
23,23,clip-ViT-L-14,0.85,tsa,knn-90,0.555461072098012,0.6979772464704616,0.8079442161623708,"[[3202, 11604], [3820, 32443]]",0.5665434344094407
24,24,clip-ViT-L-14,0.9,nnpu,knn-90,0.5244413924823725,0.7191642679512033,0.8332131643214327,"[[903, 13903], [439, 35824]]",0.671737029960358
25,25,clip-ViT-L-14,0.9,pt,knn-90,0.5044175021832059,0.299203039025632,0.0313946250236812,"[[14700, 106], [35683, 580]]",0.6114779168934891
26,26,clip-ViT-L-14,0.9,tsa,knn-90,0.5754082093069242,0.6970765043372692,0.8021840315073399,"[[4232, 10574], [4896, 31367]]",0.6021610229955452
27,27,clip-ViT-L-14,0.95,nnpu,knn-90,0.5706583311066721,0.7230217940433531,0.8271479720894993,"[[3080, 11726], [2419, 33844]]",0.7010306482358628
28,28,clip-ViT-L-14,0.95,pt,knn-90,0.5001310964647411,0.2903914312009242,0.0018729170683339,"[[14796, 10], [36229, 34]]",0.614681735561653
29,29,clip-ViT-L-14,0.95,tsa,knn-90,0.5777219435471173,0.7041649532984785,0.8083568003653245,"[[4098, 10708], [4400, 31863]]",0.6149034991113298
