,Unnamed: 0,extractor,percentile_threshold,classifier,detector,balanced_accuracy,accuracy,f1,confusion_matrix,aul
0,0,clip-ViT-L-14,0.5,nnpu,knn-90,0.6322708556996599,0.66,0.7327044025157232,"[[194, 223], [117, 466]]",0.6089688128772636
1,1,clip-ViT-L-14,0.5,pt,knn-90,0.5890519145575478,0.528,0.3534246575342465,"[[399, 18], [454, 129]]",0.6226649899396378
2,2,clip-ViT-L-14,0.5,tsa,knn-90,0.7124502799132906,0.689,0.6816786079836233,"[[356, 61], [250, 333]]",0.6480754527162977
3,3,clip-ViT-L-14,0.55,nnpu,knn-90,0.6243937954267804,0.654,0.7301092043681748,"[[186, 231], [115, 468]]",0.6241190476190476
4,4,clip-ViT-L-14,0.55,pt,knn-90,0.5579858583116354,0.487,0.2285714285714286,"[[411, 6], [507, 76]]",0.6383809523809524
5,5,clip-ViT-L-14,0.55,tsa,knn-90,0.6853392071934219,0.655,0.6294307196562836,"[[362, 55], [290, 293]]",0.6691499999999999
6,6,clip-ViT-L-14,0.6,nnpu,knn-90,0.6110295297209917,0.642,0.7220496894409938,"[[177, 240], [118, 465]]",0.6125809523809523
7,7,clip-ViT-L-14,0.6,pt,knn-90,0.5327648687225177,0.456,0.1309904153354633,"[[415, 2], [542, 41]]",0.6350285714285714
8,8,clip-ViT-L-14,0.6,tsa,knn-90,0.6752142025659061,0.642,0.6074561403508771,"[[365, 52], [306, 277]]",0.6719690476190475
9,9,clip-ViT-L-14,0.65,nnpu,knn-90,0.6062333666514472,0.638,0.7198142414860681,"[[173, 244], [118, 465]]",0.6276325301204819
10,10,clip-ViT-L-14,0.65,pt,knn-90,0.512523086162288,0.432,0.0533333333333333,"[[416, 1], [567, 16]]",0.6516957831325301
11,11,clip-ViT-L-14,0.65,tsa,knn-90,0.6700601782724764,0.634,0.5906040268456376,"[[370, 47], [319, 264]]",0.7053192771084337
12,12,clip-ViT-L-14,0.7,nnpu,knn-90,0.6053757337183426,0.637,0.7188226181254842,"[[173, 244], [119, 464]]",0.6259006024096385
13,13,clip-ViT-L-14,0.7,pt,knn-90,0.5042881646655232,0.422,0.0170068027210884,"[[417, 0], [578, 5]]",0.6485331325301205
14,14,clip-ViT-L-14,0.7,tsa,knn-90,0.6606097626187215,0.619,0.5564610011641443,"[[380, 37], [344, 239]]",0.7066867469879518
15,15,clip-ViT-L-14,0.75,nnpu,knn-90,0.5889223441144169,0.621,0.7064291247095275,"[[165, 252], [127, 456]]",0.6353625954198473
16,16,clip-ViT-L-14,0.75,pt,knn-90,0.5008576329331046,0.418,0.0034246575342465,"[[417, 0], [582, 1]]",0.6626259541984733
17,17,clip-ViT-L-14,0.75,tsa,knn-90,0.6480784497616315,0.602,0.5204819277108433,"[[386, 31], [367, 216]]",0.7317022900763358
18,18,clip-ViT-L-14,0.8,nnpu,knn-90,0.5890807079893546,0.618,0.6996855345911949,"[[173, 244], [138, 445]]",0.6395916030534351
19,19,clip-ViT-L-14,0.8,pt,knn-90,0.5,0.417,0.0,"[[417, 0], [583, 0]]",0.6521564885496183
20,20,clip-ViT-L-14,0.8,tsa,knn-90,0.6319417879075813,0.58,0.4696969696969697,"[[394, 23], [397, 186]]",0.7320954198473282
21,21,clip-ViT-L-14,0.85,nnpu,knn-90,0.585125724463311,0.611,0.6895450917797287,"[[179, 238], [151, 432]]",0.6743917525773195
22,22,clip-ViT-L-14,0.85,pt,knn-90,0.5,0.417,0.0,"[[417, 0], [583, 0]]",0.6858092783505154
23,23,clip-ViT-L-14,0.85,tsa,knn-90,0.6261049479455887,0.572,0.4498714652956297,"[[397, 20], [408, 175]]",0.7883247422680413
24,24,clip-ViT-L-14,0.9,nnpu,knn-90,0.589014894430939,0.602,0.6615646258503401,"[[213, 204], [194, 389]]",0.6946864406779661
25,25,clip-ViT-L-14,0.9,pt,knn-90,0.5,0.417,0.0,"[[417, 0], [583, 0]]",0.6886271186440678
26,26,clip-ViT-L-14,0.9,tsa,knn-90,0.6000263254233663,0.54,0.3766937669376693,"[[401, 16], [444, 139]]",0.8109237288135593
27,27,clip-ViT-L-14,0.95,nnpu,knn-90,0.5847287864391163,0.556,0.5194805194805194,"[[316, 101], [343, 240]]",0.7261478873239436
28,28,clip-ViT-L-14,0.95,pt,knn-90,0.5,0.417,0.0,"[[417, 0], [583, 0]]",0.7422464788732395
29,29,clip-ViT-L-14,0.95,tsa,knn-90,0.57891868323523,0.513,0.3032904148783977,"[[407, 10], [477, 106]]",0.8237112676056338
