,Unnamed: 0,extractor,percentile_threshold,classifier,detector,balanced_accuracy,accuracy,f1,confusion_matrix,aul
0,0,clip-ViT-L-14,0.5,nnpu,knn-90,0.6328418038824378,0.7760872544988153,0.860649045199186,"[[4322, 10484], [951, 35312]]",0.6726348075886651
1,1,clip-ViT-L-14,0.5,pt,knn-90,0.6992554867363632,0.623293974818383,0.6615411681914144,"[[13030, 1776], [17462, 18801]]",0.6474532308736872
2,2,clip-ViT-L-14,0.5,tsa,knn-90,0.6496026006057947,0.7745207464410895,0.8564053322692072,"[[5216, 9590], [1925, 34338]]",0.6454807589755497
3,3,clip-ViT-L-14,0.55,nnpu,knn-90,0.6315127561291104,0.774540327791811,0.8595922150139018,"[[4310, 10496], [1018, 35245]]",0.6886506487801468
4,4,clip-ViT-L-14,0.55,pt,knn-90,0.6555781461003133,0.5345904560496583,0.5286932381518937,"[[13970, 836], [22932, 13331]]",0.6615818744857659
5,5,clip-ViT-L-14,0.55,tsa,knn-90,0.6646930698315314,0.7780453895709726,0.8567166820462905,"[[5847, 8959], [2376, 33887]]",0.6598822769570412
6,6,clip-ViT-L-14,0.6,nnpu,knn-90,0.633275959531525,0.7744620023889248,0.8592241316091813,"[[4401, 10405], [1113, 35150]]",0.7056122828655329
7,7,clip-ViT-L-14,0.6,pt,knn-90,0.6102758580135756,0.4579098866239793,0.3934799754622732,"[[14405, 401], [27283, 8980]]",0.6780840762319137
8,8,clip-ViT-L-14,0.6,tsa,knn-90,0.6763427555447665,0.7786132487418982,0.8550735784238322,"[[6410, 8396], [2910, 33353]]",0.6731205612392062
9,9,clip-ViT-L-14,0.65,nnpu,knn-90,0.6344866718047844,0.7746773972468621,0.859195085838748,"[[4454, 10352], [1155, 35108]]",0.7217728552993598
10,10,clip-ViT-L-14,0.65,pt,knn-90,0.5683710286717748,0.3915878517300123,0.2562654091964478,"[[14645, 161], [30910, 5353]]",0.6930299539403433
11,11,clip-ViT-L-14,0.65,tsa,knn-90,0.682666570782188,0.7764984628639684,0.8520007261222478,"[[6801, 8005], [3409, 32854]]",0.6843294060928548
12,12,clip-ViT-L-14,0.7,nnpu,knn-90,0.6321988646297797,0.7723080538095518,0.8576116771159875,"[[4423, 10383], [1245, 35018]]",0.7392386699336321
13,13,clip-ViT-L-14,0.7,pt,knn-90,0.5385363475215579,0.3459828858994693,0.1483936766955634,"[[14759, 47], [33353, 2910]]",0.709704064564438
14,14,clip-ViT-L-14,0.7,tsa,knn-90,0.7020477090109135,0.7783978538839609,0.8499330354182967,"[[7704, 7102], [4215, 32048]]",0.7021565206418799
15,15,clip-ViT-L-14,0.75,nnpu,knn-90,0.6291649407566048,0.7702128492823435,0.8563876005042037,"[[4345, 10461], [1274, 34989]]",0.7578079795964792
16,16,clip-ViT-L-14,0.75,pt,knn-90,0.5196179665709248,0.3182361119270007,0.0774754246045414,"[[14790, 16], [34801, 1462]]",0.727671455441354
17,17,clip-ViT-L-14,0.75,tsa,knn-90,0.7066319439867068,0.7714856370792458,0.8425398710095259,"[[8177, 6629], [5041, 31222]]",0.7164538323046219
18,18,clip-ViT-L-14,0.8,nnpu,knn-90,0.627101572509796,0.7691554563433786,0.8558643371520094,"[[4279, 10527], [1262, 35001]]",0.7775343374032735
19,19,clip-ViT-L-14,0.8,pt,knn-90,0.5078344753727039,0.3011611740977892,0.0313746777038946,"[[14802, 4], [35685, 578]]",0.7467449684914214
20,20,clip-ViT-L-14,0.8,tsa,knn-90,0.7136046426762439,0.7652979302512287,0.8350489926235825,"[[8744, 6062], [5924, 30339]]",0.7319392705541427
21,21,clip-ViT-L-14,0.85,nnpu,knn-90,0.6263849616890524,0.7673148093755507,0.8544445669349207,"[[4308, 10498], [1385, 34878]]",0.800574451371343
22,22,clip-ViT-L-14,0.85,pt,knn-90,0.5026335383172931,0.2936615167714269,0.0104789597849344,"[[14806, 0], [36072, 191]]",0.7663840170853375
23,23,clip-ViT-L-14,0.85,tsa,knn-90,0.7138190585089108,0.7530595860502457,0.8227671983697561,"[[9186, 5620], [6991, 29272]]",0.7441152718393552
24,24,clip-ViT-L-14,0.9,nnpu,knn-90,0.6402221714717322,0.7710744287140927,0.855149855657841,"[[4868, 9938], [1753, 34510]]",0.8277981204546944
25,25,clip-ViT-L-14,0.9,pt,knn-90,0.5007859250475691,0.2910376157747361,0.0031387665198237,"[[14806, 0], [36206, 57]]",0.7904794204768609
26,26,clip-ViT-L-14,0.9,tsa,knn-90,0.7134664789187435,0.7374336681744307,0.8064828044046124,"[[9719, 5087], [8322, 27941]]",0.7591404177430646
27,27,clip-ViT-L-14,0.95,nnpu,knn-90,0.7297951762036354,0.7643971881180364,0.8303775340457328,"[[9586, 5220], [6812, 29451]]",0.8598819301584549
28,28,clip-ViT-L-14,0.95,pt,knn-90,0.5000275763174585,0.2899606414850496,0.0001102991865434,"[[14806, 0], [36261, 2]]",0.8210771567954795
29,29,clip-ViT-L-14,0.95,tsa,knn-90,0.7028977453646801,0.7095694060976326,0.7785012395089753,"[[10172, 4634], [10198, 26065]]",0.7771166137875142
