,Unnamed: 0,extractor,percentile_threshold,classifier,detector,balanced_accuracy,accuracy,f1,confusion_matrix,aul
0,0,clip-ViT-L-14,0.0,nnpu,knn-90,0.511973954284257,0.589,0.7346675274370562,"[[20, 397], [14, 569]]",0.510819039451115
1,1,clip-ViT-L-14,0.0,pt,knn-90,0.5216238672869594,0.445,0.1119999999999999,"[[410, 7], [548, 35]]",0.5613370497427101
2,2,clip-ViT-L-14,0.0,tsa,knn-90,0.6241716746671273,0.6,0.5824634655532359,"[[321, 96], [304, 279]]",0.5766234991423671
3,3,clip-ViT-L-14,0.1,nnpu,knn-90,0.5058121598775868,0.585,0.7341447789878284,"[[12, 405], [10, 573]]",0.5165806174957118
4,4,clip-ViT-L-14,0.1,pt,knn-90,0.5173357026214362,0.44,0.0967741935483871,"[[410, 7], [553, 30]]",0.5593216123499142
5,5,clip-ViT-L-14,0.1,tsa,knn-90,0.6313659192714439,0.606,0.5861344537815125,"[[327, 90], [304, 279]]",0.5757178387650086
6,6,clip-ViT-L-14,0.2,nnpu,knn-90,0.5090678743454635,0.588,0.7358974358974358,"[[14, 403], [9, 574]]",0.51523756432247
7,7,clip-ViT-L-14,0.2,pt,knn-90,0.5139051708890178,0.436,0.0844155844155844,"[[410, 7], [557, 26]]",0.561868782161235
8,8,clip-ViT-L-14,0.2,tsa,knn-90,0.6329228212627154,0.611,0.6002055498458376,"[[319, 98], [291, 292]]",0.5741929674099485
9,9,clip-ViT-L-14,0.3,nnpu,knn-90,0.5058121598775868,0.585,0.7341447789878284,"[[12, 405], [10, 573]]",0.5207967409948542
10,10,clip-ViT-L-14,0.3,pt,knn-90,0.5120150877582668,0.433,0.0689655172413793,"[[412, 5], [562, 21]]",0.5606783876500857
11,11,clip-ViT-L-14,0.3,tsa,knn-90,0.6320816417192147,0.614,0.6124497991967872,"[[309, 108], [278, 305]]",0.5773284734133791
12,12,clip-ViT-L-14,0.4,nnpu,knn-90,0.5058203865723887,0.587,0.7374443738080102,"[[7, 410], [3, 580]]",0.5139150943396227
13,13,clip-ViT-L-14,0.4,pt,knn-90,0.510641229726339,0.431,0.0595041322314049,"[[413, 4], [565, 18]]",0.5602598627787307
14,14,clip-ViT-L-14,0.4,tsa,knn-90,0.6310738716059743,0.618,0.6276803118908382,"[[296, 121], [261, 322]]",0.5717744425385934
15,15,clip-ViT-L-14,0.5,nnpu,knn-90,0.5013656313371259,0.583,0.7352380952380951,"[[4, 413], [4, 579]]",0.5261166380789022
16,16,clip-ViT-L-14,0.5,pt,knn-90,0.5070358807293788,0.426,0.0369127516778523,"[[415, 2], [572, 11]]",0.5604828473413379
17,17,clip-ViT-L-14,0.5,tsa,knn-90,0.6032799832175426,0.584,0.5772357723577236,"[[300, 117], [299, 284]]",0.571196397941681
18,18,clip-ViT-L-14,0.6,nnpu,knn-90,0.5010242235028444,0.583,0.735573874445149,"[[3, 414], [3, 580]]",0.523573756432247
19,19,clip-ViT-L-14,0.6,pt,knn-90,0.5044629819300649,0.423,0.026981450252951,"[[415, 2], [575, 8]]",0.5577298456260721
20,20,clip-ViT-L-14,0.6,tsa,knn-90,0.6334308196667365,0.61,0.5954356846473029,"[[323, 94], [296, 287]]",0.5706012006861063
21,21,clip-ViT-L-14,0.7,nnpu,knn-90,0.5023980815347722,0.585,0.7375079063883618,"[[2, 415], [0, 583]]",0.5324656946826758
22,22,clip-ViT-L-14,0.7,pt,knn-90,0.5039467568312417,0.422,0.0203389830508474,"[[416, 1], [577, 6]]",0.5561363636363637
23,23,clip-ViT-L-14,0.7,tsa,knn-90,0.6384100266956246,0.617,0.607983623336745,"[[320, 97], [286, 297]]",0.5764931389365352
24,24,clip-ViT-L-14,0.8,nnpu,knn-90,0.5,0.583,0.7365761212886923,"[[0, 417], [0, 583]]",0.5268790737564323
25,25,clip-ViT-L-14,0.8,pt,knn-90,0.5022314909650324,0.42,0.0136054421768707,"[[416, 1], [579, 4]]",0.5559785591766724
26,26,clip-ViT-L-14,0.8,tsa,knn-90,0.6289760644314737,0.606,0.5921325051759835,"[[320, 97], [297, 286]]",0.5739476843910806
27,27,clip-ViT-L-14,0.9,nnpu,knn-90,0.5,0.583,0.7365761212886923,"[[0, 417], [0, 583]]",0.5402632933104631
28,28,clip-ViT-L-14,0.9,pt,knn-90,0.4996585921657185,0.417,0.0034188034188034,"[[416, 1], [582, 1]]",0.5519339622641509
29,29,clip-ViT-L-14,0.9,tsa,knn-90,0.5760023199279342,0.551,0.5248677248677249,"[[303, 114], [335, 248]]",0.5492753001715266
