,Unnamed: 0,extractor,percentile_threshold,classifier,detector,balanced_accuracy,accuracy,f1,confusion_matrix,aul
0,0,clip-ViT-L-14,0.0,nnpu,knn-90,0.5309954353278941,0.7118995868334997,0.8257806301879196,"[[1487, 13319], [1394, 34869]]",0.5500088698178351
1,1,clip-ViT-L-14,0.0,pt,knn-90,0.5666981486047182,0.3918228279386712,0.2600243013365735,"[[14553, 253], [30806, 5457]]",0.5687671226223844
2,2,clip-ViT-L-14,0.0,tsa,knn-90,0.6095121769184182,0.7409974740057569,0.8349286775075192,"[[4391, 10415], [2812, 33451]]",0.5657512900616715
3,3,clip-ViT-L-14,0.1,nnpu,knn-90,0.5228104989697174,0.7138968846071002,0.829137090266977,"[[1007, 13799], [812, 35451]]",0.5521617238546189
4,4,clip-ViT-L-14,0.1,pt,knn-90,0.5549657637392613,0.3732597074546202,0.2172605218752292,"[[14620, 186], [31821, 4442]]",0.5681661642027706
5,5,clip-ViT-L-14,0.1,tsa,knn-90,0.5916052197115249,0.7363958565861873,0.8345419237481873,"[[3657, 11149], [2313, 33950]]",0.564057762955378
6,6,clip-ViT-L-14,0.2,nnpu,knn-90,0.5215913830530451,0.7133290254361746,0.8289040039267933,"[[966, 13840], [800, 35463]]",0.5513197597924285
7,7,clip-ViT-L-14,0.2,pt,knn-90,0.5505744996603509,0.3659167009340304,0.199218556803007,"[[14659, 147], [32235, 4028]]",0.5692260615761355
8,8,clip-ViT-L-14,0.2,tsa,knn-90,0.5860970840441337,0.7327733067026964,0.8324966553336689,"[[3509, 11297], [2350, 33913]]",0.5616681715601304
9,9,clip-ViT-L-14,0.3,nnpu,knn-90,0.5161380889814642,0.7125653527580332,0.8293516548669481,"[[720, 14086], [593, 35670]]",0.5536681235968097
10,10,clip-ViT-L-14,0.3,pt,knn-90,0.5435834673573527,0.3548532377763418,0.1720403085969894,"[[14699, 107], [32840, 3423]]",0.568452165427426
11,11,clip-ViT-L-14,0.3,tsa,knn-90,0.6083815786340256,0.7340852572010417,0.8289715624291578,"[[4578, 10228], [3352, 32911]]",0.5620982919688815
12,12,clip-ViT-L-14,0.4,nnpu,knn-90,0.510256552728845,0.710881356595978,0.8291147298126224,"[[485, 14321], [444, 35819]]",0.5475909947293066
13,13,clip-ViT-L-14,0.4,pt,knn-90,0.5328040839650777,0.3382678337151696,0.1302758904673667,"[[14744, 62], [33732, 2531]]",0.5686317784083658
14,14,clip-ViT-L-14,0.4,tsa,knn-90,0.5759200856200143,0.7327928880534179,0.8345819089873203,"[[2999, 11807], [1839, 34424]]",0.5591466740133532
15,15,clip-ViT-L-14,0.5,nnpu,knn-90,0.5119568535938067,0.712075818989994,0.8297714695871634,"[[528, 14278], [426, 35837]]",0.5516078861144496
16,16,clip-ViT-L-14,0.5,pt,knn-90,0.5250287451353717,0.3267148367894417,0.1006016217630133,"[[14762, 44], [34340, 1923]]",0.567952290472842
17,17,clip-ViT-L-14,0.5,tsa,knn-90,0.5886399255928896,0.7371791106150503,0.8358245468111652,"[[3481, 11325], [2097, 34166]]",0.5640991714400617
18,18,clip-ViT-L-14,0.6,nnpu,knn-90,0.5048394565317614,0.7110771701031937,0.8303418459451068,"[[207, 14599], [156, 36107]]",0.550711691435828
19,19,clip-ViT-L-14,0.6,pt,knn-90,0.516369563539756,0.3138498893653684,0.066394905816215,"[[14782, 24], [35017, 1246]]",0.5655211947461867
20,20,clip-ViT-L-14,0.6,tsa,knn-90,0.5713497002657678,0.7291115941177623,0.8323232812954523,"[[2900, 11906], [1928, 34335]]",0.5581400401494745
21,21,clip-ViT-L-14,0.7,nnpu,knn-90,0.5043545055890171,0.7114100530654605,0.8307105607755748,"[[171, 14635], [103, 36160]]",0.5575137660451351
22,22,clip-ViT-L-14,0.7,pt,knn-90,0.5099972243391611,0.3044312596682919,0.0406201047912277,"[[14795, 11], [35511, 752]]",0.5656823354984957
23,23,clip-ViT-L-14,0.7,tsa,knn-90,0.5917164273672708,0.7335173980301161,0.8319897285218701,"[[3764, 11042], [2567, 33696]]",0.5605629346364431
24,24,clip-ViT-L-14,0.8,nnpu,knn-90,0.5016848941853712,0.7106267990365975,0.8305858076349879,"[[65, 14741], [37, 36226]]",0.5564392070928939
25,25,clip-ViT-L-14,0.8,pt,knn-90,0.5035173810832028,0.2949734672697722,0.0142368240930869,"[[14804, 2], [36003, 260]]",0.5652724706074236
26,26,clip-ViT-L-14,0.8,tsa,knn-90,0.592769587157868,0.7307564275783743,0.8293197616683218,"[[3914, 10892], [2858, 33405]]",0.5581997707479197
27,27,clip-ViT-L-14,0.9,nnpu,knn-90,0.5001274859898395,0.7101176839178367,0.8304704319545599,"[[5, 14801], [3, 36260]]",0.5547920338922526
28,28,clip-ViT-L-14,0.9,pt,knn-90,0.5002619750158563,0.2902935244473164,0.0010473513036767,"[[14806, 0], [36244, 19]]",0.5634359037401404
29,29,clip-ViT-L-14,0.9,tsa,knn-90,0.5619773935361656,0.7109205192974212,0.8182590390368208,"[[3072, 11734], [3029, 33234]]",0.5449400417372362
