,Unnamed: 0,extractor,percentile_threshold,classifier,detector,balanced_accuracy,accuracy,f1,confusion_matrix,aul
0,0,clip-ViT-L-14,0.0,nnpu,knn-90,0.5,0.583,0.7365761212886923,"[[0, 417], [0, 583]]",0.49193224699828475
1,1,clip-ViT-L-14,0.0,pt,knn-90,0.499317184331437,0.417,0.0068143100511073,"[[415, 2], [581, 2]]",0.5207418524871354
2,2,clip-ViT-L-14,0.0,tsa,knn-90,0.5738304725002159,0.521,0.3835263835263836,"[[372, 45], [434, 149]]",0.5534159519725558
3,3,clip-ViT-L-14,0.1,nnpu,knn-90,0.5,0.583,0.7365761212886923,"[[0, 417], [0, 583]]",0.5016586620926243
4,4,clip-ViT-L-14,0.1,pt,knn-90,0.499317184331437,0.417,0.0068143100511073,"[[415, 2], [581, 2]]",0.5207898799313894
5,5,clip-ViT-L-14,0.1,tsa,knn-90,0.5465857159898153,0.496,0.3587786259541984,"[[355, 62], [442, 141]]",0.5411826758147513
6,6,clip-ViT-L-14,0.2,nnpu,knn-90,0.5,0.583,0.7365761212886923,"[[0, 417], [0, 583]]",0.49310120068610636
7,7,clip-ViT-L-14,0.2,pt,knn-90,0.5005162250988232,0.418,0.0068259385665529,"[[416, 1], [581, 2]]",0.5187881646655231
8,8,clip-ViT-L-14,0.2,tsa,knn-90,0.5583766263147286,0.499,0.3183673469387755,"[[382, 35], [466, 117]]",0.5473181818181818
9,9,clip-ViT-L-14,0.3,nnpu,knn-90,0.5,0.583,0.7365761212886923,"[[0, 417], [0, 583]]",0.4956732418524871
10,10,clip-ViT-L-14,0.3,pt,knn-90,0.4996585921657185,0.417,0.0034188034188034,"[[416, 1], [582, 1]]",0.5172632933104632
11,11,clip-ViT-L-14,0.3,tsa,knn-90,0.5441794077602412,0.492,0.3453608247422681,"[[358, 59], [449, 134]]",0.5331397941680961
12,12,clip-ViT-L-14,0.4,nnpu,knn-90,0.5,0.583,0.7365761212886923,"[[0, 417], [0, 583]]",0.49067495711835335
13,13,clip-ViT-L-14,0.4,pt,knn-90,0.5,0.417,0.0,"[[417, 0], [583, 0]]",0.5183679245283018
14,14,clip-ViT-L-14,0.4,tsa,knn-90,0.5721152066340067,0.519,0.3793548387096774,"[[372, 45], [436, 147]]",0.5473096054888508
15,15,clip-ViT-L-14,0.5,nnpu,knn-90,0.5,0.583,0.7365761212886923,"[[0, 417], [0, 583]]",0.4962581475128645
16,16,clip-ViT-L-14,0.5,pt,knn-90,0.5,0.417,0.0,"[[417, 0], [583, 0]]",0.5177984562607204
17,17,clip-ViT-L-14,0.5,tsa,knn-90,0.5338878125629857,0.48,0.3193717277486911,"[[358, 59], [461, 122]]",0.5307084048027444
18,18,clip-ViT-L-14,0.6,nnpu,knn-90,0.5,0.583,0.7365761212886923,"[[0, 417], [0, 583]]",0.4946509433962264
19,19,clip-ViT-L-14,0.6,pt,knn-90,0.5,0.417,0.0,"[[417, 0], [583, 0]]",0.5172032590051457
20,20,clip-ViT-L-14,0.6,tsa,knn-90,0.5683350403725047,0.513,0.3600525624178712,"[[376, 41], [446, 137]]",0.5501895368782161
21,21,clip-ViT-L-14,0.7,nnpu,knn-90,0.5,0.583,0.7365761212886923,"[[0, 417], [0, 583]]",0.4974442538593482
22,22,clip-ViT-L-14,0.7,pt,knn-90,0.5,0.417,0.0,"[[417, 0], [583, 0]]",0.516877358490566
23,23,clip-ViT-L-14,0.7,tsa,knn-90,0.5650381924306181,0.5,0.2877492877492877,"[[399, 18], [482, 101]]",0.5504571183533448
24,24,clip-ViT-L-14,0.8,nnpu,knn-90,0.5,0.583,0.7365761212886923,"[[0, 417], [0, 583]]",0.48769982847341337
25,25,clip-ViT-L-14,0.8,pt,knn-90,0.5,0.417,0.0,"[[417, 0], [583, 0]]",0.5170831903945111
26,26,clip-ViT-L-14,0.8,tsa,knn-90,0.5412157409578341,0.477,0.2560455192034139,"[[387, 30], [493, 90]]",0.5383559176672384
27,27,clip-ViT-L-14,0.9,nnpu,knn-90,0.5,0.583,0.7365761212886923,"[[0, 417], [0, 583]]",0.48719897084048025
28,28,clip-ViT-L-14,0.9,pt,knn-90,0.5,0.417,0.0,"[[417, 0], [583, 0]]",0.5089253859348198
29,29,clip-ViT-L-14,0.9,tsa,knn-90,0.5489262106609738,0.484,0.2628571428571429,"[[392, 25], [491, 92]]",0.5322632933104631
