,Unnamed: 0,extractor,percentile_threshold,classifier,detector,balanced_accuracy,accuracy,f1,confusion_matrix,aul
0,0,clip-ViT-L-14,0.0,nnpu,knn-90,0.5000199819344762,0.7100785212163935,0.8304591778312148,"[[1, 14805], [1, 36262]]",0.5315629169590673
1,1,clip-ViT-L-14,0.0,pt,knn-90,0.5061675087736961,0.2988505747126437,0.0251558628951022,"[[14800, 6], [35801, 462]]",0.5502752651226088
2,2,clip-ViT-L-14,0.0,tsa,knn-90,0.6082398491018545,0.4688950243787816,0.4251531271856389,"[[13916, 890], [26233, 10030]]",0.56921320866544
3,3,clip-ViT-L-14,0.1,nnpu,knn-90,0.5001013102796164,0.7101372652685582,0.8304915892773306,"[[3, 14803], [0, 36263]]",0.5325600304083479
4,4,clip-ViT-L-14,0.1,pt,knn-90,0.5053602011844154,0.2976756936693493,0.0218713354604707,"[[14801, 5], [35862, 401]]",0.5499467587107543
5,5,clip-ViT-L-14,0.1,tsa,knn-90,0.6062234784915843,0.4628248056550941,0.4119021587669089,"[[14029, 777], [26656, 9607]]",0.5709620450012983
6,6,clip-ViT-L-14,0.2,nnpu,knn-90,0.5000399638689523,0.7100785212163935,0.830455294979846,"[[2, 14804], [2, 36261]]",0.5324487377822609
7,7,clip-ViT-L-14,0.2,pt,knn-90,0.5049113857220958,0.2970099277448158,0.0199819834575382,"[[14802, 4], [35897, 366]]",0.550004811586543
8,8,clip-ViT-L-14,0.2,tsa,knn-90,0.6057793006782228,0.463470990228906,0.4141543724609792,"[[13984, 822], [26578, 9685]]",0.5690502616748672
9,9,clip-ViT-L-14,0.3,nnpu,knn-90,0.5000199819344762,0.7100785212163935,0.8304591778312148,"[[1, 14805], [1, 36262]]",0.5327497337544052
10,10,clip-ViT-L-14,0.3,pt,knn-90,0.5042019958511555,0.2960308602087372,0.0173295066283996,"[[14801, 5], [35946, 317]]",0.550311096137927
11,11,clip-ViT-L-14,0.3,tsa,knn-90,0.6051356769532787,0.4632947580724118,0.4145002456582573,"[[13958, 848], [26561, 9702]]",0.5673596272497036
12,12,clip-ViT-L-14,0.4,nnpu,knn-90,0.5000675401864109,0.7101176839178367,0.8304820794686821,"[[2, 14804], [0, 36263]]",0.5341991284549928
13,13,clip-ViT-L-14,0.4,pt,knn-90,0.5032691942260756,0.2946210029567839,0.0132577313939792,"[[14804, 2], [36021, 242]]",0.550355520959514
14,14,clip-ViT-L-14,0.4,tsa,knn-90,0.603135584677102,0.4601421606062386,0.4087497319322324,"[[13969, 837], [26733, 9530]]",0.56873104456551
15,15,clip-ViT-L-14,0.5,nnpu,knn-90,0.5000675401864109,0.7101176839178367,0.8304820794686821,"[[2, 14804], [0, 36263]]",0.5344374592989924
16,16,clip-ViT-L-14,0.5,pt,knn-90,0.5024832691785065,0.2935048659656543,0.0101508916323731,"[[14804, 2], [36078, 185]]",0.550324496319917
17,17,clip-ViT-L-14,0.5,tsa,knn-90,0.60355595216746,0.4584973271456265,0.403854445115116,"[[14048, 758], [26896, 9367]]",0.5685975927168114
18,18,clip-ViT-L-14,0.6,nnpu,knn-90,0.5000675401864109,0.7101176839178367,0.8304820794686821,"[[2, 14804], [0, 36263]]",0.5347544859732172
19,19,clip-ViT-L-14,0.6,pt,knn-90,0.5016973441309374,0.2923887289745246,0.0070343197867721,"[[14804, 2], [36135, 128]]",0.5499616503217682
20,20,clip-ViT-L-14,0.6,tsa,knn-90,0.598463919774648,0.4510955765728719,0.3905821992260533,"[[14054, 752], [27280, 8983]]",0.5669524679361565
21,21,clip-ViT-L-14,0.7,nnpu,knn-90,0.5000337700932055,0.710098102567115,0.8304725698778213,"[[1, 14805], [0, 36263]]",0.5357916360840694
22,22,clip-ViT-L-14,0.7,pt,knn-90,0.5009727654940322,0.2913313360355597,0.0040179431433525,"[[14805, 1], [36190, 73]]",0.5488341261998436
23,23,clip-ViT-L-14,0.7,tsa,knn-90,0.5910120578910157,0.438583093461787,0.3660084470291666,"[[14122, 684], [27987, 8276]]",0.565675987745458
24,24,clip-ViT-L-14,0.8,nnpu,knn-90,0.5001688504660273,0.7101764279700014,0.8305106095480206,"[[5, 14801], [0, 36263]]",0.529797933285115
25,25,clip-ViT-L-14,0.8,pt,knn-90,0.5002144167639216,0.2902543617458732,0.0009922275508516,"[[14805, 1], [36245, 18]]",0.5453924436744185
26,26,clip-ViT-L-14,0.8,tsa,knn-90,0.5871501283591344,0.4316512953063502,0.3516429512810776,"[[14173, 633], [28392, 7871]]",0.5643834690229466
27,27,clip-ViT-L-14,0.9,nnpu,knn-90,0.5000337700932055,0.710098102567115,0.8304725698778213,"[[1, 14805], [0, 36263]]",0.5265747305321867
28,28,clip-ViT-L-14,0.9,pt,knn-90,0.4999938062242531,0.2899410601343281,0.0001102961451497,"[[14805, 1], [36261, 2]]",0.5365047497502865
29,29,clip-ViT-L-14,0.9,tsa,knn-90,0.5822652293863684,0.4217627131919559,0.3296862940936124,"[[14277, 529], [29001, 7262]]",0.563870169587203
