,extractor,reliable_positive_threshold,classifier,detector,balanced_accuracy,accuracy,f1
0,clip-ViT-B-32,5.386517,logistic,k-means,0.4872712464676629,0.518,0.6192733017377566
1,clip-ViT-B-32,5.386517,logistic,knn,0.6447301849772327,0.618,0.5961945031712473
2,clip-ViT-B-32,5.386517,kneighbours,k-means,0.4368950808478431,0.472,0.5887850467289719
3,clip-ViT-B-32,5.386517,kneighbours,knn,0.5640345356647787,0.588,0.6672051696284329
4,clip-ViT-B-32,5.386517,qda,k-means,0.48059322696216955,0.513,0.6180392156862745
5,clip-ViT-B-32,5.386517,qda,knn,0.5858517302795843,0.58,0.6045197740112995
6,clip-ViT-B-32,5.386517,naivebayes,k-means,0.44265582388291763,0.503,0.6541405706332636
7,clip-ViT-B-32,5.386517,naivebayes,knn,0.6014742237085118,0.56,0.48235294117647065
8,clip-ViT-B-32,5.475771,logistic,k-means,0.5288037151753726,0.572,0.6824925816023738
9,clip-ViT-B-32,5.475771,logistic,knn,0.6560295502877287,0.626,0.5969827586206896
10,clip-ViT-B-32,5.475771,kneighbours,k-means,0.4737321634973325,0.505,0.6093133385951066
11,clip-ViT-B-32,5.475771,kneighbours,knn,0.5924618795529614,0.61,0.6760797342192691
12,clip-ViT-B-32,5.475771,qda,k-means,0.5276807713349047,0.548,0.6264462809917356
13,clip-ViT-B-32,5.475771,qda,knn,0.5906478933491286,0.584,0.6068052930056711
14,clip-ViT-B-32,5.475771,naivebayes,k-means,0.5377461324251063,0.588,0.7040229885057472
15,clip-ViT-B-32,5.475771,naivebayes,knn,0.5954707931767793,0.553,0.4697508896797153
16,clip-ViT-B-32,5.566116,logistic,k-means,0.5978092311742373,0.582,0.5836653386454184
17,clip-ViT-B-32,5.566116,logistic,knn,0.6551554639650201,0.621,0.5802879291251384
18,clip-ViT-B-32,5.566116,kneighbours,k-means,0.5500306444381373,0.545,0.5711592836946278
19,clip-ViT-B-32,5.566116,kneighbours,knn,0.6314810929986714,0.634,0.6732142857142857
20,clip-ViT-B-32,5.566116,qda,k-means,0.6115066780195055,0.592,0.5853658536585366
21,clip-ViT-B-32,5.566116,qda,knn,0.593553973287922,0.585,0.603629417382999
22,clip-ViT-B-32,5.566116,naivebayes,k-means,0.6005919106910013,0.553,0.45018450184501846
23,clip-ViT-B-32,5.566116,naivebayes,knn,0.5942635257145913,0.55,0.45913461538461536
24,clip-ViT-B-32,5.660284,logistic,k-means,0.6222301746938641,0.626,0.6678507992895204
25,clip-ViT-B-32,5.660284,logistic,knn,0.6659386041766929,0.628,0.5782312925170068
26,clip-ViT-B-32,5.660284,kneighbours,k-means,0.5833528717334879,0.595,0.652956298200514
27,clip-ViT-B-32,5.660284,kneighbours,knn,0.6312980490393276,0.631,0.6654578422484135
28,clip-ViT-B-32,5.660284,qda,k-means,0.582238154587822,0.573,0.5898174831892412
29,clip-ViT-B-32,5.660284,qda,knn,0.5971428688952782,0.586,0.5988372093023256
30,clip-ViT-B-32,5.660284,naivebayes,k-means,0.5710066595094422,0.54,0.4933920704845815
31,clip-ViT-B-32,5.660284,naivebayes,knn,0.6014577703189078,0.556,0.46246973365617433
32,clip-ViT-B-32,5.758871,logistic,k-means,0.6031380727322088,0.591,0.6017526777020448
33,clip-ViT-B-32,5.758871,logistic,knn,0.6453471870873798,0.602,0.5295508274231678
34,clip-ViT-B-32,5.758871,kneighbours,k-means,0.5681828465186685,0.559,0.575553416746872
35,clip-ViT-B-32,5.758871,kneighbours,knn,0.6271682482487424,0.623,0.6506024096385541
36,clip-ViT-B-32,5.758871,qda,k-means,0.5294310006540223,0.517,0.5231984205330701
37,clip-ViT-B-32,5.758871,qda,knn,0.5933627026337763,0.58,0.5874263261296659
38,clip-ViT-B-32,5.758871,naivebayes,k-means,0.606428750652994,0.561,0.4691656590084643
39,clip-ViT-B-32,5.758871,naivebayes,knn,0.6059042988593688,0.558,0.45566502463054187
40,clip-ViT-B-32,5.865385,logistic,k-means,0.5708544656556058,0.586,0.6509274873524452
41,clip-ViT-B-32,5.865385,logistic,knn,0.6417418380904196,0.597,0.5185185185185185
42,clip-ViT-B-32,5.865385,kneighbours,k-means,0.5238759249889968,0.536,0.6
43,clip-ViT-B-32,5.865385,kneighbours,knn,0.6221808145250524,0.614,0.6337760910815939
44,clip-ViT-B-32,5.865385,qda,k-means,0.5542509388715442,0.575,0.6507806080525883
45,clip-ViT-B-32,5.865385,qda,knn,0.5918140273373068,0.577,0.5807730426164519
46,clip-ViT-B-32,5.865385,naivebayes,k-means,0.5371003368831522,0.514,0.4884210526315789
47,clip-ViT-B-32,5.865385,naivebayes,knn,0.6074447474610363,0.559,0.45488257107540175
48,clip-ViT-B-32,5.987416,logistic,k-means,0.5544524928941924,0.541,0.545994065281899
49,clip-ViT-B-32,5.987416,logistic,knn,0.6429326521630038,0.596,0.5097087378640777
50,clip-ViT-B-32,5.987416,kneighbours,k-means,0.4729341741015421,0.477,0.5258386219401633
51,clip-ViT-B-32,5.987416,kneighbours,knn,0.6199410968652179,0.609,0.6229508196721311
52,clip-ViT-B-32,5.987416,qda,k-means,0.4632822044251391,0.496,0.6043956043956044
53,clip-ViT-B-32,5.987416,qda,knn,0.5976344139096956,0.581,0.5805805805805806
54,clip-ViT-B-32,5.987416,naivebayes,k-means,0.4093747300615768,0.463,0.6139468008626888
55,clip-ViT-B-32,5.987416,naivebayes,knn,0.6077779286005158,0.557,0.4427672955974843
56,clip-ViT-B-32,6.129032,logistic,k-means,0.5564988832261807,0.582,0.6645264847512039
57,clip-ViT-B-32,6.129032,logistic,knn,0.6207925597772211,0.567,0.4441591784338897
58,clip-ViT-B-32,6.129032,kneighbours,k-means,0.5397123124827754,0.568,0.6571428571428573
59,clip-ViT-B-32,6.129032,kneighbours,knn,0.612380764342214,0.597,0.6005946481665014
60,clip-ViT-B-32,6.129032,qda,k-means,0.5070543907926832,0.555,0.6758922068463219
61,clip-ViT-B-32,6.129032,qda,knn,0.5966019637120492,0.579,0.5760322255790533
62,clip-ViT-B-32,6.129032,naivebayes,k-means,0.44557013051651306,0.506,0.6564673157162726
63,clip-ViT-B-32,6.129032,naivebayes,knn,0.6079445191702556,0.556,0.43654822335025384
64,clip-ViT-B-32,6.307692,logistic,k-means,0.5422687578924853,0.567,0.6505246166263116
65,clip-ViT-B-32,6.307692,logistic,knn,0.6247228632188588,0.568,0.4330708661417323
66,clip-ViT-B-32,6.307692,kneighbours,k-means,0.5194293964485359,0.534,0.6030664395229983
67,clip-ViT-B-32,6.307692,kneighbours,knn,0.6288177005565359,0.609,0.6030456852791878
68,clip-ViT-B-32,6.307692,qda,k-means,0.4556128681960092,0.499,0.62528047868362
69,clip-ViT-B-32,6.307692,qda,knn,0.5936794303836519,0.574,0.5653061224489795
70,clip-ViT-B-32,6.307692,naivebayes,k-means,0.42276367585177144,0.481,0.6347642505277974
71,clip-ViT-B-32,6.307692,naivebayes,knn,0.6029653121413675,0.549,0.4180645161290323
72,clip-ViT-B-32,6.574194,logistic,k-means,0.5219858418582458,0.533,0.5949696444058976
73,clip-ViT-B-32,6.574194,logistic,knn,0.6140980868821238,0.558,0.4214659685863874
74,clip-ViT-B-32,6.574194,kneighbours,k-means,0.4983053008707956,0.503,0.5526552655265526
75,clip-ViT-B-32,6.574194,kneighbours,knn,0.6097585053740884,0.582,0.5524625267665954
76,clip-ViT-B-32,6.574194,qda,k-means,0.4456955876122429,0.495,0.6316557257476294
77,clip-ViT-B-32,6.574194,qda,knn,0.5957278773893406,0.574,0.5599173553719008
78,clip-ViT-B-32,6.574194,naivebayes,k-means,0.445029225333284,0.499,0.6418870621872766
79,clip-ViT-B-32,6.574194,naivebayes,knn,0.6055382109406814,0.552,0.4241645244215938
80,clip-ViT-B-32,7.069421,logistic,k-means,0.5264755605464171,0.504,0.47899159663865554
81,clip-ViT-B-32,7.069421,logistic,knn,0.5995101003245431,0.539,0.37278911564625844
82,clip-ViT-B-32,7.069421,kneighbours,k-means,0.5357347055460263,0.514,0.4926931106471817
83,clip-ViT-B-32,7.069421,kneighbours,knn,0.6119324094755071,0.571,0.4982456140350877
84,clip-ViT-B-32,7.069421,qda,k-means,0.6310162847423605,0.604,0.5796178343949046
85,clip-ViT-B-32,7.069421,qda,knn,0.5927395305025277,0.553,0.479627473806752
86,clip-ViT-B-32,7.069421,naivebayes,k-means,0.5998761882432304,0.545,0.40832249674902465
87,clip-ViT-B-32,7.069421,naivebayes,knn,0.6043309434784934,0.549,0.41199478487614083
