,setting,classifier,balanced_accuracy,accuracy,f1
0,AVA-AVA,logistic,0.7451870274238039,0.8135267970784624,0.8736416108273071
1,AVA-AVA,kneighbours,0.6334487305803059,0.7596389198926942,0.8465605820072751
2,AVA-AVA,qda,0.7062222794078898,0.7202216608901683,0.7896472528119662
3,AVA-AVA,naivebayes,0.7416491615285272,0.7425248193620396,0.8040066180744981
4,AVA-AADB,logistic,0.6938772138514406,0.6733466933867736,0.6707070707070707
5,AVA-AADB,kneighbours,0.6493193232883955,0.6773547094188377,0.7472527472527473
6,AVA-AADB,qda,0.6337232355273592,0.5951903807615231,0.536697247706422
7,AVA-AADB,naivebayes,0.6299150806238435,0.5771543086172345,0.4631043256997455
8,AADB-AVA,logistic,0.6371950904589074,0.707807084532691,0.7964922808357426
9,AADB-AVA,kneighbours,0.5978479813239753,0.6613209579196773,0.7584762330335698
10,AADB-AVA,qda,0.6021358453874739,0.6092933090524585,0.6923634345272052
11,AADB-AVA,naivebayes,0.5871392242965542,0.7102743347236092,0.8118371188035709
12,AADB-AADB,logistic,0.7811591329632567,0.7735470941883767,0.7911275415896488
13,AADB-AADB,kneighbours,0.7131327650013217,0.7014028056112225,0.7151051625239007
14,AADB-AADB,qda,0.7124388712661909,0.6973947895791583,0.7056530214424951
15,AADB-AADB,naivebayes,0.7189812979117103,0.7114228456913828,0.7313432835820897
16,LAION+AVA-AADB,logistic,0.697338421887391,0.6893787575150301,0.7091932457786116
17,LAION+AVA-AADB,kneighbours,0.6300968146973301,0.6653306613226453,0.7458143074581429
18,LAION+AVA-AADB,qda,0.579079103885805,0.5290581162324649,0.4080604534005038
19,LAION+AVA-AADB,naivebayes,0.5062863468146974,0.4729458917835671,0.40362811791383224
20,LAION+AADB-AVA,logistic,0.6239762962646971,0.7408799859014275,0.8317846110821564
21,LAION+AADB-AVA,kneighbours,0.583606781098041,0.7342027453053712,0.8342531991794471
22,LAION+AADB-AVA,qda,0.6593315490590492,0.6034580665374297,0.6533846812152332
23,LAION+AADB-AVA,naivebayes,0.565119731300654,0.39043255203743954,0.2581383156188933
