,setting,classifier,balanced_accuracy,accuracy,f1
0,AVA-AVA,logistic,0.7439884847884127,0.8127043803481564,0.8731179942959475
1,AVA-AVA,kneighbours,0.6330640627431215,0.7591493861246549,0.8462077071194579
2,AVA-AVA,qda,0.704504206476118,0.7193992441598621,0.7892523089593505
3,AVA-AVA,naivebayes,0.7415844225565873,0.7426031447649258,0.8041129573057149
4,AVA-AADB,logistic,0.7068047106054436,0.686,0.6834677419354839
5,AVA-AADB,kneighbours,0.6461431198094698,0.671,0.7382657120127287
6,AVA-AADB,qda,0.654631012171395,0.618,0.5698198198198199
7,AVA-AADB,naivebayes,0.6473791807034647,0.598,0.5037037037037038
8,AADB-AVA,logistic,0.6371950904589074,0.707807084532691,0.7964922808357426
9,AADB-AVA,kneighbours,0.5978479813239753,0.6613209579196773,0.7584762330335698
10,AADB-AVA,qda,0.6021358453874739,0.6092933090524585,0.6923634345272052
11,AADB-AVA,naivebayes,0.5871392242965542,0.7102743347236092,0.8118371188035709
12,AADB-AADB,logistic,0.7810691412564631,0.771,0.7857811038353602
13,AADB-AADB,kneighbours,0.7193524768521375,0.707,0.7196172248803827
14,AADB-AADB,qda,0.7294528013952475,0.714,0.7217898832684825
15,AADB-AADB,naivebayes,0.7250227262443905,0.716,0.7335834896810507
