,extractor,reliable_positive_threshold,classifier,detector,balanced_accuracy,accuracy,f1
0,clip-ViT-L-14,0.5,logistic,k-means,0.5979141215329623,0.649,0.7505330490405119
1,clip-ViT-L-14,0.5,logistic,knn,0.606856538782696,0.665,0.7691247415575466
2,clip-ViT-L-14,0.5,kneighbours,k-means,0.5759817531909293,0.629,0.7378091872791519
3,clip-ViT-L-14,0.5,kneighbours,knn,0.5559970548432609,0.626,0.7529722589167767
4,clip-ViT-L-14,0.5,qda,k-means,0.5349058660447286,0.603,0.7351567711807871
5,clip-ViT-L-14,0.5,qda,knn,0.5030808972033352,0.585,0.736842105263158
6,clip-ViT-L-14,0.5,naivebayes,k-means,0.48256557704094016,0.536,0.6690442225392296
7,clip-ViT-L-14,0.5,naivebayes,knn,0.6206383092496843,0.654,0.7346625766871164
8,clip-ViT-L-14,0.55,logistic,k-means,0.5751241202578247,0.628,0.7369165487977369
9,clip-ViT-L-14,0.55,logistic,knn,0.6184808585378695,0.669,0.7647476901208244
10,clip-ViT-L-14,0.55,kneighbours,k-means,0.5815944157195685,0.624,0.7218934911242603
11,clip-ViT-L-14,0.55,kneighbours,knn,0.5838917202430165,0.643,0.7543014452856158
12,clip-ViT-L-14,0.55,qda,k-means,0.5410758871462007,0.609,0.7391594396264176
13,clip-ViT-L-14,0.55,qda,knn,0.5231149557198153,0.6,0.7419354838709676
14,clip-ViT-L-14,0.55,naivebayes,k-means,0.502233547638733,0.545,0.6607009694258016
15,clip-ViT-L-14,0.55,naivebayes,knn,0.6183739115054441,0.643,0.7146282973621103
16,clip-ViT-L-14,0.55,logistic,k-means,0.5751241202578247,0.628,0.7369165487977369
17,clip-ViT-L-14,0.55,logistic,knn,0.6184808585378695,0.669,0.7647476901208244
18,clip-ViT-L-14,0.55,kneighbours,k-means,0.5815944157195685,0.624,0.7218934911242603
19,clip-ViT-L-14,0.55,kneighbours,knn,0.5838917202430165,0.643,0.7543014452856158
20,clip-ViT-L-14,0.55,qda,k-means,0.5410758871462007,0.609,0.7391594396264176
21,clip-ViT-L-14,0.55,qda,knn,0.5231149557198153,0.6,0.7419354838709676
22,clip-ViT-L-14,0.55,naivebayes,k-means,0.502233547638733,0.545,0.6607009694258016
23,clip-ViT-L-14,0.55,naivebayes,knn,0.6183739115054441,0.643,0.7146282973621103
24,clip-ViT-L-14,0.6,logistic,k-means,0.5635923508191731,0.605,0.7058823529411765
25,clip-ViT-L-14,0.6,logistic,knn,0.6482738337631782,0.691,0.7736263736263738
26,clip-ViT-L-14,0.6,kneighbours,k-means,0.5626853577172567,0.592,0.6787401574803149
27,clip-ViT-L-14,0.6,kneighbours,knn,0.5997959779689113,0.65,0.7503566333808845
28,clip-ViT-L-14,0.6,qda,k-means,0.5439819670849941,0.61,0.7379032258064516
29,clip-ViT-L-14,0.6,qda,knn,0.5813352748333066,0.644,0.7584803256445046
30,clip-ViT-L-14,0.6,naivebayes,k-means,0.4910760928135708,0.53,0.6428571428571429
31,clip-ViT-L-14,0.6,naivebayes,knn,0.6233119850603221,0.64,0.7009966777408638
32,clip-ViT-L-14,0.6,logistic,k-means,0.5635923508191731,0.605,0.7058823529411765
33,clip-ViT-L-14,0.6,logistic,knn,0.6482738337631782,0.691,0.7736263736263738
34,clip-ViT-L-14,0.6,kneighbours,k-means,0.5626853577172567,0.592,0.6787401574803149
35,clip-ViT-L-14,0.6,kneighbours,knn,0.5997959779689113,0.65,0.7503566333808845
36,clip-ViT-L-14,0.6,qda,k-means,0.5439819670849941,0.61,0.7379032258064516
37,clip-ViT-L-14,0.6,qda,knn,0.5813352748333066,0.644,0.7584803256445046
38,clip-ViT-L-14,0.6,naivebayes,k-means,0.4910760928135708,0.53,0.6428571428571429
39,clip-ViT-L-14,0.6,naivebayes,knn,0.6233119850603221,0.64,0.7009966777408638
40,clip-ViT-L-14,0.65,logistic,k-means,0.5313354805006767,0.565,0.6630518977536792
41,clip-ViT-L-14,0.65,logistic,knn,0.657833253123059,0.691,0.7639419404125286
42,clip-ViT-L-14,0.65,kneighbours,k-means,0.5362324205815451,0.552,0.6216216216216216
43,clip-ViT-L-14,0.65,kneighbours,knn,0.6244349289007902,0.664,0.7496274217585692
44,clip-ViT-L-14,0.65,qda,k-means,0.5614431268021604,0.622,0.7407407407407407
45,clip-ViT-L-14,0.65,qda,knn,0.6092134868434583,0.657,0.7530597552195823
46,clip-ViT-L-14,0.65,naivebayes,k-means,0.5450843441884572,0.546,0.5857664233576644
47,clip-ViT-L-14,0.65,naivebayes,knn,0.6202064077725813,0.632,0.686541737649063
48,clip-ViT-L-14,0.65,logistic,k-means,0.5313354805006767,0.565,0.6630518977536792
49,clip-ViT-L-14,0.65,logistic,knn,0.657833253123059,0.691,0.7639419404125286
50,clip-ViT-L-14,0.65,kneighbours,k-means,0.5362324205815451,0.552,0.6216216216216216
51,clip-ViT-L-14,0.65,kneighbours,knn,0.6244349289007902,0.664,0.7496274217585692
52,clip-ViT-L-14,0.65,qda,k-means,0.5614431268021604,0.622,0.7407407407407407
53,clip-ViT-L-14,0.65,qda,knn,0.6092134868434583,0.657,0.7530597552195823
54,clip-ViT-L-14,0.65,naivebayes,k-means,0.5450843441884572,0.546,0.5857664233576644
55,clip-ViT-L-14,0.65,naivebayes,knn,0.6202064077725813,0.632,0.686541737649063
56,clip-ViT-L-14,0.7,logistic,k-means,0.5474227821859151,0.575,0.6618933969769292
57,clip-ViT-L-14,0.7,logistic,knn,0.6721806088576823,0.693,0.7518189167340339
58,clip-ViT-L-14,0.7,kneighbours,k-means,0.5554335262493264,0.572,0.6409395973154363
59,clip-ViT-L-14,0.7,kneighbours,knn,0.6237027530634155,0.652,0.726844583987441
60,clip-ViT-L-14,0.7,qda,k-means,0.5890292911468424,0.647,0.756046993780235
61,clip-ViT-L-14,0.7,qda,knn,0.6223206683366858,0.648,0.7201907790143084
62,clip-ViT-L-14,0.7,naivebayes,k-means,0.6033704768603643,0.606,0.6469534050179212
63,clip-ViT-L-14,0.7,naivebayes,knn,0.6198485465486958,0.628,0.6770833333333334
64,clip-ViT-L-14,0.75,logistic,k-means,0.5815039220767468,0.602,0.6737704918032787
65,clip-ViT-L-14,0.75,logistic,knn,0.6923483511646944,0.699,0.7393939393939394
66,clip-ViT-L-14,0.75,kneighbours,k-means,0.5261074159540292,0.539,0.6042918454935622
67,clip-ViT-L-14,0.75,kneighbours,knn,0.6185158219907778,0.636,0.6986754966887417
68,clip-ViT-L-14,0.75,qda,k-means,0.597422576518545,0.654,0.7597222222222222
69,clip-ViT-L-14,0.75,qda,knn,0.6463631838954222,0.6,0.5169082125603865
70,clip-ViT-L-14,0.75,naivebayes,k-means,0.46764440934387996,0.519,0.6532083633741889
71,clip-ViT-L-14,0.75,naivebayes,knn,0.6091990901275549,0.612,0.6529516994633273
72,clip-ViT-L-14,0.8,logistic,k-means,0.5295873078552595,0.555,0.6414182111200645
73,clip-ViT-L-14,0.8,logistic,knn,0.6808412618104487,0.682,0.7160714285714287
74,clip-ViT-L-14,0.8,kneighbours,k-means,0.4810765452817849,0.506,0.5983739837398374
75,clip-ViT-L-14,0.8,kneighbours,knn,0.6088905890724813,0.62,0.6746575342465754
76,clip-ViT-L-14,0.8,qda,k-means,0.6325279399122212,0.681,0.7716535433070866
77,clip-ViT-L-14,0.8,qda,knn,0.6103096939258199,0.55,0.3902439024390244
