,extractor,reliable_positive_threshold,classifier,detector,balanced_accuracy,accuracy,f1
0,clip-ViT-L-14,5.386517,logistic,k-means,0.6832557967348248,0.688,0.7267950963222416
1,clip-ViT-L-14,5.386517,logistic,knn,0.6994274220417833,0.677,0.6707441386340468
2,clip-ViT-L-14,5.386517,kneighbours,k-means,0.5406768924483055,0.595,0.7141848976711362
3,clip-ViT-L-14,5.386517,kneighbours,knn,0.5975809403934829,0.651,0.7543983110485574
4,clip-ViT-L-14,5.386517,qda,k-means,0.5817692329841102,0.625,0.7236551215917465
5,clip-ViT-L-14,5.386517,qda,knn,0.6094417776242128,0.588,0.5761316872427984
6,clip-ViT-L-14,5.386517,naivebayes,k-means,0.545218027978989,0.537,0.5552353506243995
7,clip-ViT-L-14,5.386517,naivebayes,knn,0.597003015083645,0.552,0.45893719806763283
8,clip-ViT-L-14,5.475771,logistic,k-means,0.6866451949932335,0.682,0.7071823204419889
9,clip-ViT-L-14,5.475771,logistic,knn,0.6868878824898914,0.658,0.6361702127659574
10,clip-ViT-L-14,5.475771,kneighbours,k-means,0.5553821094068142,0.601,0.7081199707388441
11,clip-ViT-L-14,5.475771,kneighbours,knn,0.613826605953659,0.658,0.75
12,clip-ViT-L-14,5.475771,qda,k-means,0.4620482002048447,0.528,0.6797829036635007
13,clip-ViT-L-14,5.475771,qda,knn,0.6120064497287248,0.589,0.573208722741433
14,clip-ViT-L-14,5.475771,naivebayes,k-means,0.4447289509730123,0.509,0.6639288158795345
15,clip-ViT-L-14,5.475771,naivebayes,knn,0.5911661751216523,0.544,0.43980343980343983
16,clip-ViT-L-14,5.566116,logistic,k-means,0.6456351214054485,0.672,0.7409162717219591
17,clip-ViT-L-14,5.566116,logistic,knn,0.6760718354990107,0.643,0.6089813800657174
18,clip-ViT-L-14,5.566116,kneighbours,k-means,0.5692214667374162,0.604,0.696319018404908
19,clip-ViT-L-14,5.566116,kneighbours,knn,0.6054168671923525,0.647,0.7387120651369357
20,clip-ViT-L-14,5.566116,qda,k-means,0.574924622908877,0.621,0.7239621267297888
21,clip-ViT-L-14,5.566116,qda,knn,0.6051453862638877,0.581,0.5612565445026179
22,clip-ViT-L-14,5.566116,naivebayes,k-means,0.5757575757575758,0.616,0.7130044843049327
23,clip-ViT-L-14,5.566116,naivebayes,knn,0.5964703365952178,0.547,0.43445692883895126
24,clip-ViT-L-14,5.660284,logistic,k-means,0.644195449815105,0.654,0.7032590051457976
25,clip-ViT-L-14,5.660284,logistic,knn,0.66902772807483,0.632,0.5855855855855856
26,clip-ViT-L-14,5.660284,kneighbours,k-means,0.5685468777636553,0.606,0.7015151515151514
27,clip-ViT-L-14,5.660284,kneighbours,knn,0.6230199373948526,0.652,0.7276995305164318
28,clip-ViT-L-14,5.660284,qda,k-means,0.4501256627631,0.493,0.6196549137284321
29,clip-ViT-L-14,5.660284,qda,knn,0.6109657728362764,0.585,0.5608465608465608
30,clip-ViT-L-14,5.660284,naivebayes,k-means,0.45088251868488055,0.511,0.6597077244258872
31,clip-ViT-L-14,5.660284,naivebayes,knn,0.5937226205313622,0.543,0.4237074401008828
32,clip-ViT-L-14,5.758871,logistic,k-means,0.5614102200229525,0.614,0.7262411347517731
33,clip-ViT-L-14,5.758871,logistic,knn,0.6597521296856168,0.618,0.5547785547785548
34,clip-ViT-L-14,5.758871,kneighbours,k-means,0.5401606673494823,0.594,0.7128712871287128
35,clip-ViT-L-14,5.758871,kneighbours,knn,0.6224708055168215,0.643,0.7090464547677262
36,clip-ViT-L-14,5.758871,qda,k-means,0.4841553858114195,0.549,0.6934058463630184
37,clip-ViT-L-14,5.758871,qda,knn,0.6104495477374532,0.584,0.5583864118895966
38,clip-ViT-L-14,5.758871,naivebayes,k-means,0.47422987853285126,0.543,0.6939048894842599
39,clip-ViT-L-14,5.758871,naivebayes,knn,0.590117271534402,0.538,0.4107142857142857
40,clip-ViT-L-14,5.865385,logistic,k-means,0.656852219767925,0.66,0.698581560283688
41,clip-ViT-L-14,5.865385,logistic,knn,0.6396769376951269,0.593,0.5066666666666666
42,clip-ViT-L-14,5.865385,kneighbours,k-means,0.5950512317418792,0.617,0.6888708367181154
43,clip-ViT-L-14,5.865385,kneighbours,knn,0.6286161465338878,0.643,0.7002518891687657
44,clip-ViT-L-14,5.865385,qda,k-means,0.6319726380130887,0.629,0.65869365225391
45,clip-ViT-L-14,5.865385,qda,knn,0.612497994743142,0.584,0.5526881720430108
46,clip-ViT-L-14,5.865385,naivebayes,k-means,0.5770615068836868,0.518,0.34864864864864864
47,clip-ViT-L-14,5.865385,naivebayes,knn,0.5856542896043371,0.532,0.3953488372093024
48,clip-ViT-L-14,5.987416,logistic,k-means,0.5612374594321112,0.572,0.6303972366148533
49,clip-ViT-L-14,5.987416,logistic,knn,0.632116605172123,0.581,0.47427854454203255
50,clip-ViT-L-14,5.987416,kneighbours,k-means,0.5516451332930226,0.564,0.6260720411663808
51,clip-ViT-L-14,5.987416,kneighbours,knn,0.6265018859697833,0.627,0.6630532971996387
52,clip-ViT-L-14,5.987416,qda,k-means,0.47391520745667615,0.508,0.616822429906542
