,extractor,reliable_positive_threshold,classifier,detector,balanced_accuracy,accuracy,f1
0,clip-ViT-L-14,5.386517,logistic,k-means,0.6437576030669335,0.753137911453132,0.83873773616281
1,clip-ViT-L-14,5.386517,logistic,knn,0.6490361034042843,0.774227026180266,0.8562559218072109
2,clip-ViT-L-14,5.386517,kneighbours,k-means,0.5685547801460303,0.7088253147702128,0.8148609278119475
3,clip-ViT-L-14,5.386517,kneighbours,knn,0.5673699344063969,0.7365133446905168,0.839431039831985
4,clip-ViT-L-14,5.386517,qda,k-means,0.5692665614793249,0.6406234702069749,0.7449448976472061
5,clip-ViT-L-14,5.386517,qda,knn,0.603105036725542,0.6803931935224892,0.7776415454198682
6,clip-ViT-L-14,5.386517,naivebayes,k-means,0.4771932903061079,0.5994243082887858,0.7314120659095386
7,clip-ViT-L-14,5.386517,naivebayes,knn,0.6170155446431282,0.6830366758699015,0.7762155585970442
8,clip-ViT-L-14,5.475771,logistic,k-means,0.6494313828900382,0.750298615598504,0.8349554773244978
9,clip-ViT-L-14,5.475771,logistic,knn,0.6608550754107982,0.7760285104466506,0.8556682818493843
10,clip-ViT-L-14,5.475771,kneighbours,k-means,0.5687563102058797,0.6935322798566645,0.8004691543747371
11,clip-ViT-L-14,5.475771,kneighbours,knn,0.5792252598069615,0.7378840392410269,0.838298180763934
12,clip-ViT-L-14,5.475771,qda,k-means,0.5093178301856778,0.6114472576318315,0.7333324374084476
13,clip-ViT-L-14,5.475771,qda,knn,0.6068645347470148,0.6771622706534297,0.773015763750258
14,clip-ViT-L-14,5.475771,naivebayes,k-means,0.4941164652745567,0.6205917484188059,0.7485073464513784
15,clip-ViT-L-14,5.475771,naivebayes,knn,0.6204975054496007,0.6801777986645519,0.7720032943869788
16,clip-ViT-L-14,5.566116,logistic,k-means,0.6156415247324758,0.7187138968846071,0.8129727759188616
17,clip-ViT-L-14,5.566116,logistic,knn,0.6775404889197273,0.7791223638606591,0.8552992790620109
18,clip-ViT-L-14,5.566116,kneighbours,k-means,0.5667549411793573,0.6816659813193914,0.7894089148542042
