,extractor,reliable_positive_threshold,classifier,detector,balanced_accuracy,accuracy,f1
0,clip-ViT-B-32,5.386517,logistic,k-means,0.5489177321640314,0.6523331179384754,0.7645756261850776
1,clip-ViT-B-32,5.386517,logistic,knn,0.6119221153680999,0.7258610898979811,0.8206232062320622
2,clip-ViT-B-32,5.386517,kneighbours,k-means,0.5095809878951439,0.6113101881767804,0.7330841222030982
3,clip-ViT-B-32,5.386517,kneighbours,knn,0.5362015995165581,0.6953141827723276,0.8100446810069096
4,clip-ViT-B-32,5.386517,qda,k-means,0.5302949389403973,0.6012257925551705,0.7134474946882607
5,clip-ViT-B-32,5.386517,qda,knn,0.5469603435084606,0.6599111006677241,0.7730681788486162
6,clip-ViT-B-32,5.386517,naivebayes,k-means,0.4943028391623595,0.6250562963833245,0.7531456270627064
7,clip-ViT-B-32,5.386517,naivebayes,knn,0.5933530089843106,0.6351015293034914,0.7294373865698729
8,clip-ViT-B-32,5.475771,logistic,k-means,0.5627771961429258,0.6584229180128846,0.7666978734786679
9,clip-ViT-B-32,5.475771,logistic,knn,0.6324352524884534,0.7347314417748536,0.8242315726648761
10,clip-ViT-B-32,5.475771,kneighbours,k-means,0.5386385173493646,0.6050441559458771,0.7147019717672353
11,clip-ViT-B-32,5.475771,kneighbours,knn,0.5519475194033365,0.693923906871096,0.8050243859846076
12,clip-ViT-B-32,5.475771,qda,k-means,0.537804968862024,0.5642170396913979,0.6618757501633268
13,clip-ViT-B-32,5.475771,qda,knn,0.5493547830843255,0.6600481701227751,0.7724967566930062
14,clip-ViT-B-32,5.475771,naivebayes,k-means,0.5447610176467981,0.581076582662672,0.6815041981778122
15,clip-ViT-B-32,5.475771,naivebayes,knn,0.593408721303369,0.6276606160292937,0.7202236445229162
16,clip-ViT-B-32,5.566116,logistic,k-means,0.5660528942526004,0.6477510818696274,0.754063845785768
17,clip-ViT-B-32,5.566116,logistic,knn,0.6641939861657776,0.7487321075407781,0.830255569077729
18,clip-ViT-B-32,5.566116,kneighbours,k-means,0.521586051619253,0.5899077718381014,0.7032098065613265
19,clip-ViT-B-32,5.566116,kneighbours,knn,0.5960047291205305,0.7077679218312479,0.8072880349164536
20,clip-ViT-B-32,5.566116,qda,k-means,0.5441629639447677,0.6314202353678356,0.7433845482679173
21,clip-ViT-B-32,5.566116,qda,knn,0.5612380275041191,0.6659421566899685,0.775046810306179
22,clip-ViT-B-32,5.566116,naivebayes,k-means,0.595509311804967,0.5928449744463373,0.6726697416683721
