ඞcollection_urlඞname_and_countryඞcollection_nameඞplaceඞmain_categoryඞsecondary_categoryඞyear
0ඞhttps://photoawards.com/winner/zoom.php?eid=8-179419-19ඞKevin Arnold, CanadaඞYukon Overland - Woods Canadaඞ1st PlaceඞAdvertisingඞ Automotiveඞ2019
1ඞhttps://photoawards.com/winner/zoom.php?eid=8-182459-19ඞJames Lipman, United StatesඞBackyard Racerඞ2nd PlaceඞAdvertisingඞ Automotiveඞ2019
2ඞhttps://photoawards.com/winner/zoom.php?eid=8-166400-19ඞMichael Schnabel, GermanyඞBMW iNextඞ3rd PlaceඞAdvertisingඞ Automotiveඞ2019
3ඞhttps://photoawards.com/winner/zoom.php?eid=8-174145-19ඞJonathan  Knowles, United Kingdomඞ2049 - DiorSHOWඞ1st PlaceඞAdvertisingඞ Beautyඞ2019
4ඞhttps://photoawards.com/winner/zoom.php?eid=8-177994-19ඞNatasha Volk, UkraineඞAbsintheඞ2nd PlaceඞAdvertisingඞ Beautyඞ2019
5ඞhttps://photoawards.com/winner/zoom.php?eid=8-169498-19ඞHarry Steininger & Marco Nagel, GermanyඞPowder & Heatඞ3rd PlaceඞAdvertisingඞ Beautyඞ2019
6ඞhttps://photoawards.com/winner/zoom.php?eid=8-175931-19ඞSandro Miller, United StatesඞChicago Public Library: Classic to Modern Campaignඞ1st PlaceඞAdvertisingඞ Brands campaignඞ2019
7ඞhttps://photoawards.com/winner/zoom.php?eid=8-179524-19ඞMac Holt, United StatesඞWestern Towboat Co.ඞ2nd PlaceඞAdvertisingඞ Brands campaignඞ2019
8ඞhttps://photoawards.com/winner/zoom.php?eid=8-181864-19ඞLucas Allen/Renaissance Hotels, AustraliaඞRenaissance Hotels Global Brand Imageryඞ3rd PlaceඞAdvertisingඞ Brands campaignඞ2019
9ඞhttps://photoawards.com/winner/zoom.php?eid=8-182088-19ඞJuhamatti Vahdersalo, FinlandඞGrossceriesඞ1st PlaceඞAdvertisingඞ Conceptualඞ2019
10ඞhttps://photoawards.com/winner/zoom.php?eid=8-169887-19ඞKremer Johnson, United StatesඞBulletproof - You only betterඞ2nd PlaceඞAdvertisingඞ Conceptualඞ2019
11ඞhttps://photoawards.com/winner/zoom.php?eid=8-174968-19ඞLindsay Siu, CanadaඞExpanded Spaces ඞ3rd PlaceඞAdvertisingඞ Conceptualඞ2019
12ඞhttps://photoawards.com/winner/zoom.php?eid=8-182383-19ඞJoey L., United StatesඞZAAF: Made in Africaඞ1st PlaceඞAdvertisingඞ Fashionඞ2019
13ඞhttps://photoawards.com/winner/zoom.php?eid=8-181638-19ඞRobert Yager, United StatesඞBalenciaga Summer 2019 Campaignඞ2nd PlaceඞAdvertisingඞ Fashionඞ2019
14ඞhttps://photoawards.com/winner/zoom.php?eid=8-177865-19ඞAMYN NASSER, CanadaඞThe Disrupters!  You Are So COOL! ඞ3rd PlaceඞAdvertisingඞ Fashionඞ2019
