ඞcollection_urlඞname_and_countryඞcollection_nameඞplaceඞmain_categoryඞsecondary_categoryඞyearඞphoto_url
0ඞhttps://photoawards.com/winner/zoom.php?eid=8-11581-09ඞSean Williams, United Statesඞ20th Anniversary Ensemble Portraitඞ1st PlaceඞAdvertisingඞ Annual Reportඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-11581-09_IPA_SW6.jpg
1ඞhttps://photoawards.com/winner/zoom.php?eid=8-8949-09ඞJohn  Rae, United StatesඞNew Bed Netඞ2nd PlaceඞAdvertisingඞ Annual Reportඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-8949-09_IPA_035.JPG
2ඞhttps://photoawards.com/winner/zoom.php?eid=8-11843-09ඞmike powell, United StatesඞJavelinඞ3rd PlaceඞAdvertisingඞ Annual Reportඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-11843-09_IPA_sprintstart.jpg
2ඞhttps://photoawards.com/winner/zoom.php?eid=8-11843-09ඞmike powell, United StatesඞJavelinඞ3rd PlaceඞAdvertisingඞ Annual Reportඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-11843-09_IPA_Javelin.jpg
2ඞhttps://photoawards.com/winner/zoom.php?eid=8-11843-09ඞmike powell, United StatesඞJavelinඞ3rd PlaceඞAdvertisingඞ Annual Reportඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-11843-09_IPA_hurdle.jpg
3ඞhttps://photoawards.com/winner/zoom.php?eid=8-7172-09ඞDavide Bellocchio, Italyඞinsert coinඞ1st PlaceඞAdvertisingඞ Automotiveඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-7172-09_IPA_insert_coin.jpg
4ඞhttps://photoawards.com/winner/zoom.php?eid=8-8204-09ඞWolfgang Michaelsen, SwitzerlandඞThe Chaseඞ2nd PlaceඞAdvertisingඞ Automotiveඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-8204-09_IPA_DSCF8758_S.JPG
5ඞhttps://photoawards.com/winner/zoom.php?eid=8-12319-09ඞFrank Herfort, Russian FederationඞLada Carඞ3rd PlaceඞAdvertisingඞ Automotiveඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-12319-09_IPA_frank_herfort_lada_01.jpg
5ඞhttps://photoawards.com/winner/zoom.php?eid=8-12319-09ඞFrank Herfort, Russian FederationඞLada Carඞ3rd PlaceඞAdvertisingඞ Automotiveඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-12319-09_IPA_frank_herfort_lada_02.jpg
6ඞhttps://photoawards.com/winner/zoom.php?eid=8-8361-09ඞRic Frazier, United StatesඞThermoclineඞ1st PlaceඞAdvertisingඞ Beautyඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-8361-09_IPA_ricfrazierV3H2177.jpg
6ඞhttps://photoawards.com/winner/zoom.php?eid=8-8361-09ඞRic Frazier, United StatesඞThermoclineඞ1st PlaceඞAdvertisingඞ Beautyඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-8361-09_IPA_ricfrazierV3H2119.jpg
