ඞcollection_urlඞname_and_countryඞcollection_nameඞplaceඞmain_categoryඞsecondary_categoryඞyearඞphoto_url
0ඞhttps://photoawards.com/winner/zoom.php?eid=8-14073-10ඞEmilio Morenatti, SpainඞPakistani Refugeeඞ1st PlaceඞAdvertisingඞ Annual Reportඞ2010ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-14073-10_IPA_Morenatti01.jpg
1ඞhttps://photoawards.com/winner/zoom.php?eid=8-23490-10ඞJohn  Rae, United StatesඞThe Global Fund Fights AIDS, TB, and Malariaඞ2nd PlaceඞAdvertisingඞ Annual Reportඞ2010ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-23490-10_IPA_RaeGFPeople1.jpg
1ඞhttps://photoawards.com/winner/zoom.php?eid=8-23490-10ඞJohn  Rae, United StatesඞThe Global Fund Fights AIDS, TB, and Malariaඞ2nd PlaceඞAdvertisingඞ Annual Reportඞ2010ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-23490-10_IPA_RaeGFPeople2.jpg
1ඞhttps://photoawards.com/winner/zoom.php?eid=8-23490-10ඞJohn  Rae, United StatesඞThe Global Fund Fights AIDS, TB, and Malariaඞ2nd PlaceඞAdvertisingඞ Annual Reportඞ2010ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-23490-10_IPA_RaeGFPeople3.jpg
1ඞhttps://photoawards.com/winner/zoom.php?eid=8-23490-10ඞJohn  Rae, United StatesඞThe Global Fund Fights AIDS, TB, and Malariaඞ2nd PlaceඞAdvertisingඞ Annual Reportඞ2010ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-23490-10_IPA_RaeGFPeople4.jpg
1ඞhttps://photoawards.com/winner/zoom.php?eid=8-23490-10ඞJohn  Rae, United StatesඞThe Global Fund Fights AIDS, TB, and Malariaඞ2nd PlaceඞAdvertisingඞ Annual Reportඞ2010ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-23490-10_IPA_RaeGFPeople5.jpg
2ඞhttps://photoawards.com/winner/zoom.php?eid=8-21658-10ඞTed Sabarese, United StatesඞThe visualization of soundඞ3rd PlaceඞAdvertisingඞ Annual Reportඞ2010ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-21658-10_IPA_phonak1.jpg
2ඞhttps://photoawards.com/winner/zoom.php?eid=8-21658-10ඞTed Sabarese, United StatesඞThe visualization of soundඞ3rd PlaceඞAdvertisingඞ Annual Reportඞ2010ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-21658-10_IPA_phonak2.jpg
2ඞhttps://photoawards.com/winner/zoom.php?eid=8-21658-10ඞTed Sabarese, United StatesඞThe visualization of soundඞ3rd PlaceඞAdvertisingඞ Annual Reportඞ2010ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-21658-10_IPA_phonak3.jpg
3ඞhttps://photoawards.com/winner/zoom.php?eid=8-24589-10ඞGreg White, United Kingdomඞ"Camry ""pinboard"""ඞ1st PlaceඞAdvertisingඞ Automotiveඞ2010ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-24589-10_IPA_GW_Camry_Pinboard_fl.jpg
4ඞhttps://photoawards.com/winner/zoom.php?eid=8-17290-10ඞMark Bramley, AustraliaඞVintage BMW Carsඞ2nd PlaceඞAdvertisingඞ Automotiveඞ2010ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-17290-10_IPA_BMW1.jpg
4ඞhttps://photoawards.com/winner/zoom.php?eid=8-17290-10ඞMark Bramley, AustraliaඞVintage BMW Carsඞ2nd PlaceඞAdvertisingඞ Automotiveඞ2010ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-17290-10_IPA_BMW2.jpg
5ඞhttps://photoawards.com/winner/zoom.php?eid=8-23248-10ඞRene van der Hulst, Netherlandsඞ'Porsche and Vitra'ඞ3rd PlaceඞAdvertisingඞ Automotiveඞ2010ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-23248-10_IPA_IPA-RenevanderHulst-05.jpg
5ඞhttps://photoawards.com/winner/zoom.php?eid=8-23248-10ඞRene van der Hulst, Netherlandsඞ'Porsche and Vitra'ඞ3rd PlaceඞAdvertisingඞ Automotiveඞ2010ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-23248-10_IPA_IPA-RenevanderHulst-06.jpg
6ඞhttps://photoawards.com/winner/zoom.php?eid=8-22337-10ඞReka Nyari, United StatesඞLight Me Onඞ1st PlaceඞAdvertisingඞ Beautyඞ2010ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-22337-10_IPA_10-05-20_0001-371-1.jpg
6ඞhttps://photoawards.com/winner/zoom.php?eid=8-22337-10ඞReka Nyari, United StatesඞLight Me Onඞ1st PlaceඞAdvertisingඞ Beautyඞ2010ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-22337-10_IPA_10-05-20_0002-56-1.jpg
