ඞcollection_urlඞname_and_countryඞcollection_nameඞplaceඞmain_categoryඞsecondary_categoryඞyearඞphoto_url
0ඞhttps://photoawards.com/winner/zoom.php?eid=8-186713-20ඞMike Dodd, United KingdomඞA sustainable future of exquisite luxury mobilityඞ1st PlaceඞAdvertisingඞ Automotiveඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/4103278405/8-186713-20/full/a896a5ed8d38fe37b6d58cec9f55878c.jpg
1ඞhttps://photoawards.com/winner/zoom.php?eid=8-200887-20ඞDaniele Micheli Gigotti, ItalyඞBMW 1 Series Frontඞ2nd PlaceඞAdvertisingඞ Automotiveඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/125923/8-200887-20/full/07e9fcfc134b83abb918f7c6d126f593.jpg
2ඞhttps://photoawards.com/winner/zoom.php?eid=8-204447-20ඞMike Maez, United StatesඞLauda's Legacyඞ3rd PlaceඞAdvertisingඞ Automotiveඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/4103289819/8-204447-20/full/5ba1584c3f6dde88c9732c396b7b3bfa.jpg
3ඞhttps://photoawards.com/winner/zoom.php?eid=8-201502-20ඞMarie Simonova, MontenegroඞPhoenixඞ1st PlaceඞAdvertisingඞ Beautyඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/4103274406/8-201502-20/full/9d9e6ff67b593cb267b267f5228f2f92.jpg
4ඞhttps://photoawards.com/winner/zoom.php?eid=8-190616-20ඞGwenny Eeckels, BelgiumඞRed Candyඞ2nd PlaceඞAdvertisingඞ Beautyඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/4103280709/8-190616-20/full/500277780f7cafa129693cc2a5c908db.jpg
5ඞhttps://photoawards.com/winner/zoom.php?eid=8-199723-20ඞLei Zhao, ChinaඞVigor after recoveringඞ3rd PlaceඞAdvertisingඞ Beautyඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/4103286420/8-199723-20/full/1f9cb72496a8d27bfe8ce4617da8316f.jpg
6ඞhttps://photoawards.com/winner/zoom.php?eid=8-189265-20ඞAlfred Minnaar, IndonesiaඞThe Cold That Burnsඞ1st PlaceඞAdvertisingඞ Brands campaignඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/4103280228/8-189265-20/full/22d628e485faa80d7eed67fbee8e008c.jpg
6ඞhttps://photoawards.com/winner/zoom.php?eid=8-189265-20ඞAlfred Minnaar, IndonesiaඞThe Cold That Burnsඞ1st PlaceඞAdvertisingඞ Brands campaignඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/4103280228/8-189265-20/full/78d87bbadb5545056b28464d3d7aee1b.jpg
6ඞhttps://photoawards.com/winner/zoom.php?eid=8-189265-20ඞAlfred Minnaar, IndonesiaඞThe Cold That Burnsඞ1st PlaceඞAdvertisingඞ Brands campaignඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/4103280228/8-189265-20/full/cd66bda821e263311e1d99fb9a894f19.jpg
6ඞhttps://photoawards.com/winner/zoom.php?eid=8-189265-20ඞAlfred Minnaar, IndonesiaඞThe Cold That Burnsඞ1st PlaceඞAdvertisingඞ Brands campaignඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/4103280228/8-189265-20/full/ee53ab9e280e010bbced372d6e26853b.jpg
6ඞhttps://photoawards.com/winner/zoom.php?eid=8-189265-20ඞAlfred Minnaar, IndonesiaඞThe Cold That Burnsඞ1st PlaceඞAdvertisingඞ Brands campaignඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/4103280228/8-189265-20/full/f84e3e50272b1bf60578be114b2e34f0.jpg
6ඞhttps://photoawards.com/winner/zoom.php?eid=8-189265-20ඞAlfred Minnaar, IndonesiaඞThe Cold That Burnsඞ1st PlaceඞAdvertisingඞ Brands campaignඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/4103280228/8-189265-20/full/d039b0ba40f1e7aba507a4be69299bd8.jpg
6ඞhttps://photoawards.com/winner/zoom.php?eid=8-189265-20ඞAlfred Minnaar, IndonesiaඞThe Cold That Burnsඞ1st PlaceඞAdvertisingඞ Brands campaignඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/4103280228/8-189265-20/full/4a5a40adbf9f5f11f4e9b01fce07df6a.jpg
6ඞhttps://photoawards.com/winner/zoom.php?eid=8-189265-20ඞAlfred Minnaar, IndonesiaඞThe Cold That Burnsඞ1st PlaceඞAdvertisingඞ Brands campaignඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/4103280228/8-189265-20/full/fa92a47db96d69e4833fba523bdfc880.jpg
6ඞhttps://photoawards.com/winner/zoom.php?eid=8-189265-20ඞAlfred Minnaar, IndonesiaඞThe Cold That Burnsඞ1st PlaceඞAdvertisingඞ Brands campaignඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/4103280228/8-189265-20/full/495a13dc7e344c1344ba4d0f4429860e.jpg
7ඞhttps://photoawards.com/winner/zoom.php?eid=8-193702-20ඞNick Hall, United StatesඞAmerican Airlines Aviatorඞ2nd PlaceඞAdvertisingඞ Brands campaignඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/84520/8-193702-20/full/5e2360999d87cd05764673e18a356c6a.jpg
7ඞhttps://photoawards.com/winner/zoom.php?eid=8-193702-20ඞNick Hall, United StatesඞAmerican Airlines Aviatorඞ2nd PlaceඞAdvertisingඞ Brands campaignඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/84520/8-193702-20/full/ef3f64e7e34ccd5796d845d8d4610d32.jpg
7ඞhttps://photoawards.com/winner/zoom.php?eid=8-193702-20ඞNick Hall, United StatesඞAmerican Airlines Aviatorඞ2nd PlaceඞAdvertisingඞ Brands campaignඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/84520/8-193702-20/full/2a958e48dbc1508038a89c62c5bae9d7.jpg
7ඞhttps://photoawards.com/winner/zoom.php?eid=8-193702-20ඞNick Hall, United StatesඞAmerican Airlines Aviatorඞ2nd PlaceඞAdvertisingඞ Brands campaignඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/84520/8-193702-20/full/9e3c65f883947c867b27b796c1e9e3af.jpg
7ඞhttps://photoawards.com/winner/zoom.php?eid=8-193702-20ඞNick Hall, United StatesඞAmerican Airlines Aviatorඞ2nd PlaceඞAdvertisingඞ Brands campaignඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/84520/8-193702-20/full/ca01dfc1732760c67bd95bff16a37d30.jpg
7ඞhttps://photoawards.com/winner/zoom.php?eid=8-193702-20ඞNick Hall, United StatesඞAmerican Airlines Aviatorඞ2nd PlaceඞAdvertisingඞ Brands campaignඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/84520/8-193702-20/full/c3335d274e019ff24b1ca6a178bb29ec.jpg
7ඞhttps://photoawards.com/winner/zoom.php?eid=8-193702-20ඞNick Hall, United StatesඞAmerican Airlines Aviatorඞ2nd PlaceඞAdvertisingඞ Brands campaignඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/84520/8-193702-20/full/ee119dee6a15663ec45685a6dd13942b.jpg
7ඞhttps://photoawards.com/winner/zoom.php?eid=8-193702-20ඞNick Hall, United StatesඞAmerican Airlines Aviatorඞ2nd PlaceඞAdvertisingඞ Brands campaignඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/84520/8-193702-20/full/16e6406783bb86a415707931e23d16df.jpg
7ඞhttps://photoawards.com/winner/zoom.php?eid=8-193702-20ඞNick Hall, United StatesඞAmerican Airlines Aviatorඞ2nd PlaceඞAdvertisingඞ Brands campaignඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/84520/8-193702-20/full/1566d837e1b2d03c18cee946b9a4ff98.jpg
7ඞhttps://photoawards.com/winner/zoom.php?eid=8-193702-20ඞNick Hall, United StatesඞAmerican Airlines Aviatorඞ2nd PlaceඞAdvertisingඞ Brands campaignඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/84520/8-193702-20/full/e8862cf9127d11d1d5ae400b89d7c252.jpg
8ඞhttps://photoawards.com/winner/zoom.php?eid=8-203475-20ඞAlberto  Novoa, SpainඞDunkin Coffeeඞ3rd PlaceඞAdvertisingඞ Brands campaignඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/4103289253/8-203475-20/full/7557eacde5eed87a9681f31bd523630e.jpg
8ඞhttps://photoawards.com/winner/zoom.php?eid=8-203475-20ඞAlberto  Novoa, SpainඞDunkin Coffeeඞ3rd PlaceඞAdvertisingඞ Brands campaignඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/4103289253/8-203475-20/full/897a4d8cd270be32d66dfcbb055601b7.jpg
8ඞhttps://photoawards.com/winner/zoom.php?eid=8-203475-20ඞAlberto  Novoa, SpainඞDunkin Coffeeඞ3rd PlaceඞAdvertisingඞ Brands campaignඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/4103289253/8-203475-20/full/196c819da4444c2943da0a6db4dc43f1.jpg
9ඞhttps://photoawards.com/winner/zoom.php?eid=8-196918-20ඞNeil Kremer, United StatesඞService Nowඞ1st PlaceඞAdvertisingඞ Conceptualඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/115182/8-196918-20/full/83ddca388c1c36c295b2512dceab5812.jpg
9ඞhttps://photoawards.com/winner/zoom.php?eid=8-196918-20ඞNeil Kremer, United StatesඞService Nowඞ1st PlaceඞAdvertisingඞ Conceptualඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/115182/8-196918-20/full/3a0a8fbc1dcfda970eba1f138f55e55a.jpg
9ඞhttps://photoawards.com/winner/zoom.php?eid=8-196918-20ඞNeil Kremer, United StatesඞService Nowඞ1st PlaceඞAdvertisingඞ Conceptualඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/115182/8-196918-20/full/36f2a4da679e74fc97d9a6e79ba9aae9.jpg
9ඞhttps://photoawards.com/winner/zoom.php?eid=8-196918-20ඞNeil Kremer, United StatesඞService Nowඞ1st PlaceඞAdvertisingඞ Conceptualඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/115182/8-196918-20/full/d8e65cd03d80e53c8c8c097e14f6ba72.jpg
9ඞhttps://photoawards.com/winner/zoom.php?eid=8-196918-20ඞNeil Kremer, United StatesඞService Nowඞ1st PlaceඞAdvertisingඞ Conceptualඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/115182/8-196918-20/full/252c4996885e17684d489e6bea3d1ddc.jpg
9ඞhttps://photoawards.com/winner/zoom.php?eid=8-196918-20ඞNeil Kremer, United StatesඞService Nowඞ1st PlaceඞAdvertisingඞ Conceptualඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/115182/8-196918-20/full/dd5ec01b1f90a8284aa6d8587b0dd3b7.jpg
9ඞhttps://photoawards.com/winner/zoom.php?eid=8-196918-20ඞNeil Kremer, United StatesඞService Nowඞ1st PlaceඞAdvertisingඞ Conceptualඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/115182/8-196918-20/full/808790e3dcd7fbcb452aa40623a1f8eb.jpg
9ඞhttps://photoawards.com/winner/zoom.php?eid=8-196918-20ඞNeil Kremer, United StatesඞService Nowඞ1st PlaceඞAdvertisingඞ Conceptualඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/115182/8-196918-20/full/846eda045f89c72d0adcc4d17c06e488.jpg
9ඞhttps://photoawards.com/winner/zoom.php?eid=8-196918-20ඞNeil Kremer, United StatesඞService Nowඞ1st PlaceඞAdvertisingඞ Conceptualඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/115182/8-196918-20/full/c735346343c29cff58cc2171e1e4ad50.jpg
