,extractor,reliable_positive_threshold,classifier,detector,balanced_accuracy,accuracy,f1
0,clip-ViT-B-32,0.5,logistic,k-means,0.5363831907277818,0.4786101626832697,0.30957446808510636
1,clip-ViT-B-32,0.5,logistic,knn,0.5917022583108645,0.558345049206668,0.5130646589902569
2,clip-ViT-B-32,0.5,kneighbours,k-means,0.5303039238605842,0.4966860815424784,0.4376122082585278
3,clip-ViT-B-32,0.5,kneighbours,knn,0.5735467273454588,0.5867644105242017,0.6484408372490389
4,clip-ViT-B-32,0.5,qda,k-means,0.5294666604325442,0.454207672223338,0.1629447096873556
5,clip-ViT-B-32,0.5,qda,knn,0.5734380250300017,0.5318337015464952,0.45294531800046933
6,clip-ViT-B-32,0.5,naivebayes,k-means,0.5060144112131083,0.4225748142197228,0.03813984610237537
7,clip-ViT-B-32,0.5,naivebayes,knn,0.536995236091413,0.46826672022494475,0.23093681917211328
8,clip-ViT-B-16,0.5,logistic,k-means,0.5359626991672252,0.4955814420566379,0.41106812052995667
9,clip-ViT-B-16,0.5,logistic,knn,0.5829682527313249,0.5418758786905001,0.46755368814192344
10,clip-ViT-B-16,0.5,kneighbours,k-means,0.5635442856474915,0.5534243824061057,0.5696312784283364
11,clip-ViT-B-16,0.5,kneighbours,knn,0.5688830634477815,0.5801365736091585,0.6390399723733057
12,clip-ViT-B-16,0.5,qda,k-means,0.5152246206276723,0.45511146816629844,0.26156777354382144
13,clip-ViT-B-16,0.5,qda,knn,0.5808601010966861,0.5405703956617794,0.46870282197189644
14,clip-ViT-B-16,0.5,naivebayes,k-means,0.4999183122152435,0.4175537256477204,0.03814262023217247
15,clip-ViT-B-16,0.5,naivebayes,knn,0.536904155562136,0.46716208073910426,0.22267799589803688
16,clip-ViT-L-14,0.5,logistic,k-means,0.5627358030848516,0.5070295240008034,0.3612231620039037
17,clip-ViT-L-14,0.5,logistic,knn,0.5570488703250576,0.5002008435428801,0.34590616375344985
18,clip-ViT-L-14,0.5,kneighbours,k-means,0.5369471917875827,0.512452299658566,0.48640643182058607
19,clip-ViT-L-14,0.5,kneighbours,knn,0.5480573331463097,0.5591484233781884,0.6195181140578956
20,clip-ViT-L-14,0.5,qda,k-means,0.5231602637033804,0.4443663386222133,0.11852795921618607
21,clip-ViT-L-14,0.5,qda,knn,0.5511161884575222,0.4991966258284796,0.36753329105897276
22,clip-ViT-L-14,0.5,naivebayes,k-means,0.5015228506564011,0.5864631452098815,0.7384732630509335
23,clip-ViT-L-14,0.5,naivebayes,knn,0.5214418694055245,0.44426591685077327,0.1309673366834171
