,extractor,quantile,balanced_accuracy,accuracy,f1
0,clip-ViT-B-32,0.5,0.6092134868434583,0.657,0.7530597552195823
1,clip-ViT-B-16,0.5,0.6212203479069232,0.671,0.7655024946543121
2,clip-ViT-L-14,0.5,0.6054580006663622,0.657,0.7569099929128277
3,clip-ViT-B-32,0.55,0.6227361164241848,0.666,0.755131964809384
4,clip-ViT-B-16,0.55,0.625134197958957,0.668,0.7562408223201176
5,clip-ViT-L-14,0.55,0.6124692013113352,0.66,0.755043227665706
6,clip-ViT-B-32,0.55,0.6227361164241848,0.666,0.755131964809384
7,clip-ViT-B-16,0.55,0.625134197958957,0.668,0.7562408223201176
8,clip-ViT-L-14,0.55,0.6124692013113352,0.66,0.755043227665706
9,clip-ViT-B-32,0.6,0.6818140684707807,0.711,0.7757951900698216
10,clip-ViT-B-16,0.6,0.6737621909333597,0.704,0.7712519319938176
11,clip-ViT-L-14,0.6,0.6549189464894637,0.688,0.7614678899082569
12,clip-ViT-B-32,0.6,0.6818140684707807,0.711,0.7757951900698216
13,clip-ViT-B-16,0.6,0.6737621909333597,0.704,0.7712519319938176
14,clip-ViT-L-14,0.6,0.6549189464894637,0.688,0.7614678899082569
15,clip-ViT-B-32,0.65,0.6701321618519935,0.693,0.7542033626901522
16,clip-ViT-B-16,0.65,0.6619054670500306,0.685,0.7477982385908727
17,clip-ViT-L-14,0.65,0.6793748534619988,0.699,0.7554833468724613
18,clip-ViT-B-32,0.65,0.6701321618519935,0.693,0.7542033626901522
19,clip-ViT-B-16,0.65,0.6619054670500306,0.685,0.7477982385908727
20,clip-ViT-L-14,0.65,0.6793748534619988,0.699,0.7554833468724613
21,clip-ViT-B-32,0.7,0.6956122923273731,0.704,0.7461406518010292
22,clip-ViT-B-16,0.7,0.7086598302832863,0.722,0.7679465776293822
23,clip-ViT-L-14,0.7,0.7007334098415949,0.704,0.7394366197183098
24,clip-ViT-B-32,0.75,0.6870195096067229,0.69,0.726148409893993
25,clip-ViT-B-16,0.75,0.7022820851380644,0.707,0.7441048034934497
26,clip-ViT-L-14,0.75,0.6796257676534587,0.677,0.7055606198723793
27,clip-ViT-B-32,0.8,0.6343542661582569,0.627,0.648444863336475
28,clip-ViT-B-16,0.8,0.6520231499191727,0.648,0.6752767527675277
29,clip-ViT-L-14,0.8,0.66383051363369,0.655,0.67360454115421
30,clip-ViT-B-32,0.9,0.6491602601280897,0.616,0.5770925110132159
31,clip-ViT-B-16,0.9,0.6505587982444233,0.624,0.6033755274261604
32,clip-ViT-L-14,0.9,0.647087133037995,0.61,0.5588235294117647
