,extractor,quantile,prior,balanced_accuracy,accuracy,f1
0,clip-ViT-B-32,5.386517,0.1,0.5,0.28992147878360647,0.0
1,clip-ViT-B-32,5.386517,0.2,0.5007997132062985,0.2910571971254577,0.0031937446656204395
2,clip-ViT-B-32,5.386517,0.3,0.5539095531579038,0.36807064951340346,0.2005152851409602
3,clip-ViT-B-32,5.386517,0.4,0.6653239148779612,0.5402298850574713,0.5317112086158756
4,clip-ViT-B-32,5.386517,0.5,0.7517701980572988,0.7421136109968866,0.8005331233150575
5,clip-ViT-B-32,5.386517,0.6,0.7444107790449743,0.7711919168184221,0.8337766903281789
6,clip-ViT-B-32,5.386517,0.7,0.6799675475578515,0.787052810902896,0.8617731172545281
7,clip-ViT-B-32,5.386517,0.8,0.5855900362872377,0.7545281873543637,0.8510597851915216
8,clip-ViT-B-32,5.386517,0.9,0.513803564477619,0.7177348293485285,0.8340834014341454
9,clip-ViT-B-16,5.386517,0.1,0.5,0.28992147878360647,0.0
10,clip-ViT-B-16,5.386517,0.2,0.5004825855555249,0.29060682605886157,0.0019284809080390103
11,clip-ViT-B-16,5.386517,0.3,0.5728141459498076,0.39579784213515046,0.26259439824108594
12,clip-ViT-B-16,5.386517,0.4,0.6903956122789732,0.5830151363841077,0.5969222615509833
13,clip-ViT-B-16,5.386517,0.5,0.7508523654220485,0.7150717656503945,0.7684104980025784
14,clip-ViT-B-16,5.386517,0.6,0.7460146261241581,0.786778671992794,0.8488289764129334
15,clip-ViT-B-16,5.386517,0.7,0.6862471663732053,0.7900683389140183,0.8632752222208052
16,clip-ViT-B-16,5.386517,0.8,0.5972692595405631,0.760245941765063,0.8537051640499916
17,clip-ViT-B-16,5.386517,0.9,0.5187953444962798,0.7206524506060428,0.8355238885814426
18,clip-ViT-L-14,5.386517,0.1,0.5,0.28992147878360647,0.0
19,clip-ViT-L-14,5.386517,0.2,0.5031299120315473,0.29436644539740353,0.012441764867086872
20,clip-ViT-L-14,5.386517,0.3,0.5500682593013758,0.3628424288707435,0.18885703602143838
21,clip-ViT-L-14,5.386517,0.4,0.6737185381568751,0.5531731578844309,0.5514516541190808
22,clip-ViT-L-14,5.386517,0.5,0.741113161990817,0.6834478842350545,0.7303959174143624
23,clip-ViT-L-14,5.386517,0.6,0.6964919228973614,0.7906557794356655,0.8619785951277451
24,clip-ViT-L-14,5.386517,0.7,0.6910756983547808,0.7931230296265837,0.8650719658752761
25,clip-ViT-L-14,5.386517,0.8,0.5892453920832144,0.7564275783743563,0.8519748194161818
26,clip-ViT-L-14,5.386517,0.9,0.5250661862350414,0.7241379310344828,0.837193177090556
27,clip-ViT-B-32,5.475771,0.1,0.5,0.28992147878360647,0.0
28,clip-ViT-B-32,5.475771,0.2,0.5026411327002756,0.29370067947287004,0.010642383016073292
29,clip-ViT-B-32,5.475771,0.3,0.5609684990804921,0.3783508586422291,0.22396049768999488
30,clip-ViT-B-32,5.475771,0.4,0.6975716178625386,0.5984844034541502,0.62022854814513
31,clip-ViT-B-32,5.475771,0.5,0.7420992807475819,0.6963128316591278,0.747521448223094
32,clip-ViT-B-32,5.475771,0.6,0.7337761266191257,0.7816287767530204,0.8464546330717334
33,clip-ViT-B-32,5.475771,0.7,0.6750275276128319,0.7843505845033191,0.8603137961213074
