,extractor,quantile,prior,balanced_accuracy,accuracy,f1
0,clip-ViT-B-32,5.386517,auto,0.5,0.7100785212163935,0.8304630605047406
1,clip-ViT-B-16,5.386517,auto,0.5,0.7100785212163935,0.8304630605047406
2,clip-ViT-L-14,5.386517,auto,0.5,0.7100785212163935,0.8304630605047406
3,clip-ViT-B-32,5.475771,auto,0.5003039308388492,0.7102547533728877,0.8305486527031825
4,clip-ViT-B-16,5.475771,auto,0.5,0.7100785212163935,0.8304630605047406
5,clip-ViT-L-14,5.475771,auto,0.5015196541942456,0.7109596819988643,0.8308911980019934
6,clip-ViT-B-32,5.566116,auto,0.5,0.7100785212163935,0.8304630605047406
7,clip-ViT-B-16,5.566116,auto,0.5038346018594573,0.7122324697957665,0.8314872147689484
8,clip-ViT-L-14,5.566116,auto,0.5,0.7100785212163935,0.8304630605047406
9,clip-ViT-B-32,5.660284,auto,0.5,0.7100785212163935,0.8304630605047406
10,clip-ViT-B-16,5.660284,auto,0.5,0.7100785212163935,0.8304630605047406
11,clip-ViT-L-14,5.660284,auto,0.5000337700932055,0.710098102567115,0.8304725698778213
12,clip-ViT-B-32,5.758871,auto,0.5,0.7100785212163935,0.8304630605047406
13,clip-ViT-B-16,5.758871,auto,0.5,0.7100785212163935,0.8304630605047406
14,clip-ViT-L-14,5.758871,auto,0.5,0.7100785212163935,0.8304630605047406
15,clip-ViT-B-32,5.865385,auto,0.5,0.7100785212163935,0.8304630605047406
16,clip-ViT-B-16,5.865385,auto,0.5,0.28992147878360647,0.0
17,clip-ViT-L-14,5.865385,auto,0.5000337700932055,0.710098102567115,0.8304725698778213
18,clip-ViT-B-32,5.987416,auto,0.5,0.28992147878360647,0.0
19,clip-ViT-B-16,5.987416,auto,0.5,0.28992147878360647,0.0
20,clip-ViT-L-14,5.987416,auto,0.500222602493709,0.7101960093207229,0.8305162383766205
21,clip-ViT-B-32,6.129032,auto,0.5,0.28992147878360647,0.0
22,clip-ViT-B-16,6.129032,auto,0.5,0.28992147878360647,0.0
23,clip-ViT-L-14,6.129032,auto,0.5,0.28992147878360647,0.0
24,clip-ViT-B-32,6.307692,auto,0.5,0.28992147878360647,0.0
25,clip-ViT-B-16,6.307692,auto,0.5,0.28992147878360647,0.0
26,clip-ViT-L-14,6.307692,auto,0.5,0.28992147878360647,0.0
27,clip-ViT-B-32,6.574194,auto,0.5,0.28992147878360647,0.0
28,clip-ViT-B-16,6.574194,auto,0.5,0.28992147878360647,0.0
29,clip-ViT-L-14,6.574194,auto,0.5,0.28992147878360647,0.0
30,clip-ViT-B-32,7.069421,auto,0.5,0.28992147878360647,0.0
31,clip-ViT-B-16,7.069421,auto,0.5,0.28992147878360647,0.0
32,clip-ViT-L-14,7.069421,auto,0.5,0.28992147878360647,0.0
